aX,aY,aZ,gX,gY,gZ,target
-832,-147,-9569,3,1,-3,0
-826,-148,-9571,3,1,-2,0
-818,-144,-9568,3,1,-3,0
-822,-156,-9565,3,2,-3,0
-824,-138,-9542,3,1,-4,0
-824,-143,-9566,4,1,-3,0
-834,-154,-9579,2,1,-3,0
-809,-149,-9550,2,2,-3,0
-802,-146,-9542,4,1,-3,0
-808,-141,-9559,3,2,-4,0
-834,-167,-9572,2,1,-3,0
-821,-137,-9549,3,1,-3,0
-821,-152,-9534,1,2,-3,0
-816,-161,-9562,1,2,-3,0
-828,-148,-9545,3,2,-2,0
-828,-149,-9561,4,2,-2,0
-822,-147,-9539,3,2,-3,0
-832,-147,-9547,2,1,-4,0
-828,-140,-9563,2,2,-3,0
-810,-143,-9560,3,2,-4,0
-817,-154,-9555,2,2,-3,0
-817,-153,-9544,2,1,-2,0
-837,-158,-9572,3,2,-3,0
-832,-152,-9557,3,2,-2,0
-826,-143,-9559,3,1,-1,0
-811,-155,-9559,3,1,-2,0
-821,-147,-9537,2,2,-4,0
-833,-143,-9567,2,1,-4,0
-822,-148,-9550,2,2,-3,0
-830,-156,-9566,1,2,-3,0
-816,-152,-9560,2,2,-3,0
-811,-152,-9548,2,2,-3,0
-821,-155,-9562,3,2,-4,0
-828,-155,-9560,4,1,-3,0
-820,-167,-9566,3,2,-2,0
-818,-161,-9555,2,0,-3,0
-816,-149,-9554,2,1,-4,0
-823,-146,-9542,2,2,-3,0
-832,-152,-9566,2,3,-3,0
-820,-141,-9549,3,2,-3,0
-826,-141,-9537,2,3,-3,0
-816,-148,-9539,2,3,-3,0
-836,-147,-9557,3,1,-4,0
-841,-144,-9557,2,1,-3,0
-833,-158,-9555,3,1,-4,0
-818,-153,-9560,4,2,-3,0
-811,-143,-9562,3,1,-3,0
-824,-147,-9556,4,2,-4,0
-818,-148,-9529,2,2,-3,0
-824,-155,-9556,3,2,-1,0
-814,-156,-9551,4,1,-2,0
-834,-153,-9542,3,2,-3,0
-829,-150,-9561,3,2,-3,0
-840,-158,-9555,3,2,-2,0
-840,-158,-9555,3,2,-2,0
-824,-152,-9543,3,1,-2,0
-803,-144,-9551,3,1,-3,0
-827,-140,-9541,3,1,-3,0
-810,-141,-9560,2,0,-2,0
-830,-141,-9555,3,1,-3,0
-836,-147,-9562,2,1,-4,0
-833,-149,-9537,2,1,-2,0
-833,-159,-9547,3,2,-2,0
-824,-153,-9560,3,1,-3,0
-830,-137,-9557,2,2,-4,0
-824,-152,-9548,3,2,-4,0
-827,-155,-9548,3,1,-3,0
-810,-156,-9549,3,3,-3,0
-822,-150,-9542,2,1,-4,0
-814,-148,-9549,3,1,-3,0
-818,-155,-9573,3,1,-3,0
-824,-148,-9565,3,1,-3,0
-827,-132,-9548,3,3,-1,0
-826,-144,-9559,3,1,-2,0
-833,-154,-9565,3,3,-3,0
-834,-143,-9565,3,2,-4,0
-835,-154,-9547,2,2,-3,0
-829,-152,-9545,3,2,-2,0
-829,-140,-9550,3,2,-3,0
-828,-141,-9550,3,3,-3,0
-826,-143,-9539,3,1,-3,0
-833,-144,-9550,2,1,-3,0
-811,-150,-9571,2,2,-3,0
-828,-150,-9538,2,2,-3,0
-824,-130,-9549,3,2,-2,0
-818,-149,-9551,3,2,-2,0
-822,-153,-9571,2,1,-4,0
-834,-153,-9555,3,2,-3,0
-842,-155,-9550,3,1,-3,0
-818,-153,-9551,2,1,-3,0
-822,-146,-9545,3,1,-3,0
-824,-159,-9550,3,0,-4,0
-820,-148,-9555,2,1,-3,0
-827,-140,-9545,2,1,-2,0
-839,-156,-9553,1,1,-3,0
-830,-148,-9543,3,2,-4,0
-824,-135,-9525,3,2,-3,0
-823,-144,-9543,3,1,-2,0
-824,-158,-9565,2,2,-2,0
-824,-148,-9555,3,1,-2,0
-822,-143,-9554,3,1,-3,0
-822,-149,-9547,3,2,-3,0
-823,-152,-9554,3,1,-2,0
-826,-158,-9545,3,2,-2,0
-820,-155,-9537,3,1,-2,0
-818,-155,-9554,3,1,-2,0
-828,-150,-9573,3,2,-2,0
-832,-149,-9554,3,1,-3,0
-820,-140,-9531,3,2,-4,0
-826,-143,-9553,4,2,-3,0
-823,-161,-9556,3,1,-3,0
-835,-143,-9542,2,1,-4,0
-833,-143,-9543,2,1,-4,0
-823,-146,-9566,2,1,-3,0
-816,-147,-9568,2,1,-3,0
-820,-152,-9551,2,2,-2,0
-815,-143,-9547,3,2,-3,0
-823,-149,-9549,2,1,-3,0
-832,-150,-9561,2,1,-2,0
-816,-153,-9556,3,2,-3,0
-822,-148,-9574,2,1,-2,0
-821,-147,-9544,2,0,-3,0
-824,-152,-9551,3,1,-2,0
-826,-141,-9553,3,1,-3,0
-839,-155,-9559,2,3,-4,0
-839,-158,-9543,3,1,-3,0
-832,-155,-9569,3,1,-3,0
-827,-138,-9550,4,0,-4,0
-821,-135,-9547,3,1,-2,0
-827,-146,-9550,3,1,-3,0
-841,-152,-9550,3,2,-3,0
-845,-152,-9554,2,2,-3,0
-826,-150,-9538,2,2,-3,0
-823,-153,-9542,3,2,-4,0
-830,-158,-9544,4,2,-4,0
-816,-148,-9556,3,0,-2,0
-824,-140,-9556,2,1,-2,0
-818,-146,-9555,3,2,-3,0
-834,-158,-9551,3,2,-3,0
-822,-152,-9547,2,0,-4,0
-814,-161,-9550,2,2,-3,0
-827,-155,-9555,2,2,-2,0
-816,-152,-9559,3,2,-3,0
-829,-149,-9545,4,1,-3,0
-833,-150,-9547,3,1,-2,0
-826,-149,-9554,3,1,-3,0
-826,-149,-9554,3,1,-3,0
-817,-165,-9542,3,1,-3,0
-829,-150,-9544,2,0,-4,0
-814,-146,-9555,2,1,-2,0
-826,-152,-9562,3,1,-4,0
-820,-149,-9557,3,2,-3,0
-818,-155,-9544,2,3,-3,0
-824,-147,-9551,3,1,-3,0
-832,-142,-9554,2,2,-3,0
-822,-132,-9562,2,1,-3,0
-822,-156,-9560,1,2,-2,0
-840,-147,-9554,2,2,-2,0
-834,-154,-9541,3,1,-3,0
-822,-146,-9541,3,1,-3,0
-818,-146,-9563,2,2,-3,0
-832,-153,-9554,2,2,-3,0
-816,-144,-9544,3,1,-3,0
-823,-160,-9559,4,1,-4,0
-827,-156,-9577,3,2,-3,0
-817,-147,-9544,2,2,-2,0
-817,-154,-9539,4,0,-3,0
-803,-147,-9554,3,2,-2,0
-821,-146,-9573,2,2,-2,0
-832,-147,-9547,3,2,-3,0
-827,-137,-9549,3,1,-2,0
-829,-148,-9551,3,1,-3,0
-824,-137,-9555,3,1,-4,0
-815,-146,-9548,2,1,-2,0
-822,-159,-9563,2,2,-3,0
-828,-150,-9549,3,2,-3,0
-836,-148,-9579,3,2,-3,0
-834,-138,-9529,2,2,-3,0
-845,-138,-9603,2,3,-3,0
-806,-154,-9500,3,1,-2,0
-785,-153,-9577,5,2,-2,0
-806,-148,-9596,3,2,-3,0
-823,-150,-9528,3,0,-3,0
-827,-160,-9561,3,2,-3,0
-829,-150,-9559,2,1,-2,0
-821,-154,-9563,3,1,-3,0
-827,-144,-9539,2,2,-3,0
-821,-137,-9530,3,2,-2,0
-835,-142,-9593,4,2,-4,0
-812,-164,-9529,2,1,-3,0
-803,-146,-9511,2,3,-3,0
-820,-152,-9585,4,2,-3,0
-820,-149,-9539,3,1,-2,0
-832,-161,-9549,2,1,-3,0
-821,-165,-9549,1,1,-4,0
-786,-161,-9565,1,2,-2,0
-827,-161,-9580,0,2,-3,0
-818,-141,-9524,2,1,-1,0
-828,-141,-9543,3,1,-2,0
-871,-150,-9575,4,2,-2,0
-809,-140,-9638,3,-1,-3,0
-781,-156,-9232,2,0,-3,0
-834,-149,-9769,2,7,-4,0
-755,-161,-9486,3,-3,-3,0
-837,-162,-9518,3,4,-3,0
-855,-149,-9659,2,2,-3,0
-786,-156,-9398,3,-2,-2,0
-827,-147,-9687,2,6,-4,0
-830,-154,-9512,3,-2,-3,0
-817,-154,-9449,3,1,-3,0
-858,-149,-9698,3,6,-2,0
-820,-162,-9421,3,0,-2,0
-815,-150,-9609,2,5,-4,0
-843,-147,-9618,2,2,-3,0
-808,-147,-9447,3,0,-3,0
-814,-147,-9609,1,3,-3,0
-810,-153,-9553,2,1,-2,0
-808,-159,-9531,3,2,-2,0
-827,-147,-9597,3,2,-3,0
-809,-164,-9505,3,0,-1,0
-820,-166,-9599,2,2,-2,0
-833,-156,-9571,3,2,-4,0
-827,-149,-9468,2,1,-3,0
-847,-160,-9567,3,3,-3,0
-842,-158,-9605,3,1,-3,0
-827,-156,-9561,3,1,-3,0
-826,-147,-9490,3,1,-3,0
-832,-141,-9532,2,2,-2,0
-830,-149,-9604,2,2,-2,0
-821,-147,-9575,3,2,-2,0
-818,-129,-9539,3,1,-2,0
-815,-129,-9544,3,1,-2,0
-826,-144,-9551,2,2,-3,0
-814,-149,-9547,2,2,-4,0
-836,-132,-9571,2,1,-3,0
-827,-152,-9551,3,1,-3,0
-833,-152,-9543,2,2,-2,0
-833,-152,-9543,2,2,-2,0
-837,-156,-9590,3,2,-4,0
-830,-167,-9561,3,1,-3,0
-821,-159,-9528,2,1,-2,0
-798,-154,-9596,2,2,-3,0
-808,-154,-9574,2,2,-3,0
-833,-140,-9444,2,2,-2,0
-869,-105,-9586,3,4,-3,0
-806,-132,-9800,3,2,-3,0
-796,-142,-9273,3,-1,-3,0
-824,-142,-9507,2,6,-5,0
-840,-117,-9647,1,0,-4,0
-778,-135,-9714,4,2,-3,0
-822,-116,-9482,2,0,-2,0
-829,-140,-9387,2,0,-3,0
-833,-153,-9666,3,4,-3,0
-827,-183,-9726,4,0,-2,0
-794,-167,-9313,3,-3,-1,0
-839,-150,-9525,2,5,-5,0
-845,-131,-9742,2,2,-4,0
-812,-152,-9480,3,-1,-2,0
-836,-148,-9468,4,2,-3,0
-827,-125,-9549,3,2,-3,0
-810,-141,-9681,3,2,-3,0
-814,-168,-9499,4,1,-3,0
-822,-138,-9423,2,1,-3,0
-830,-122,-9730,2,2,-3,0
-822,-148,-9528,3,0,-2,0
-824,-165,-9451,3,3,-3,0
-814,-148,-9641,2,2,-5,0
-820,-136,-9559,2,1,-3,0
-836,-161,-9511,2,2,-2,0
-830,-191,-9542,3,1,-3,0
-818,-162,-9604,3,2,-3,0
-835,-131,-9590,3,3,-4,0
-808,-148,-9425,3,0,-4,0
-815,-161,-9628,1,3,-3,0
-835,-152,-9617,3,1,-3,0
-833,-140,-9438,3,0,-2,0
-818,-135,-9572,3,3,-2,0
-800,-90,-9682,4,1,-1,0
-833,-106,-9579,40,10,-4,0
-788,-296,-9313,28,9,-5,0
-860,-59,-9663,-25,-6,0,0
-809,-156,-9618,5,2,-2,0
-815,-132,-9568,6,2,-2,0
-797,-195,-9425,10,3,-3,0
-835,-144,-9660,-1,2,-2,0
-804,-240,-9493,-1,0,-1,0
-826,-108,-9561,-29,-4,-1,0
-841,-105,-9610,-5,2,-4,0
-817,-135,-9549,7,2,-4,0
-447,470,-9562,4,2,10,0
428,2036,-9635,19,3,259,0
-92,1313,-9609,52,5,834,0
-158,2381,-9597,80,12,1206,0
-2117,-1345,-10083,117,3,1570,0
-2321,-6341,-10887,254,3,1076,0
-879,350,-12294,622,68,44,0
-2487,-421,-13236,1240,179,-100,0
-2355,-2938,-16589,1554,664,-591,0
-1863,-1789,-18587,2140,1809,-1066,0
-2921,-1975,-17935,3312,2875,-754,0
-3454,-1254,-16660,4260,3097,-111,0
-3298,-2497,-14941,4448,2769,264,0
-1892,-3881,-13476,4086,2698,2,0
-1531,-4931,-12964,3772,2711,-382,0
-2184,-5840,-12890,3820,2433,-643,0
-1623,-5676,-12046,4164,2227,-849,0
-772,-5231,-11176,4711,2269,-1009,0
-167,-4801,-10502,5483,2378,-1106,0
-190,-3918,-9332,6242,2405,-1120,0
-227,-2780,-7661,6813,2301,-945,0
963,-1486,-6891,7276,2058,-671,0
2879,-608,-7002,7786,1787,-481,0
3572,-1910,-6547,8283,1489,-422,0
3104,-3937,-4751,8676,1142,-637,0
2569,-5298,-3401,8877,815,-989,0
2856,-5778,-3982,8945,459,-1203,0
3622,-5444,-3638,9258,378,-894,0
3330,-4946,-1975,9799,356,-560,0
3178,-4581,-818,9980,303,-327,0
3275,-4170,-330,9599,257,-27,0
3268,-3627,29,8925,180,355,0
3524,-3796,764,8156,159,768,0
3968,-4866,1595,7289,107,830,0
4502,-5527,2106,6564,19,586,0
4257,-6138,3606,6182,0,270,0
3676,-6608,4759,5863,145,-16,0
3341,-6741,5126,5577,278,-190,0
3176,-6537,5741,5186,221,-315,0
3154,-6289,5880,4491,63,-379,0
3154,-6289,5880,4491,63,-379,0
3156,-5783,5159,3761,19,-462,0
3001,-5821,4702,3129,166,-509,0
2913,-5643,4448,2520,344,-488,0
2323,-6018,4662,2024,480,-389,0
2057,-6672,5357,1578,532,-256,0
1840,-7255,5747,1192,430,-42,0
1725,-7337,5877,1103,262,267,0
2286,-7070,5978,1375,161,667,0
2913,-6700,6211,1812,189,915,0
3296,-5952,6356,2149,394,963,0
2575,-5293,6887,2164,654,1035,0
3116,-5554,7582,1578,566,1233,0
3245,-6214,8517,1177,396,914,0
2486,-6033,8512,599,572,734,0
2097,-6262,8262,-177,533,792,0
2138,-7374,8262,-890,150,666,0
2341,-8365,7931,-1653,-254,451,0
2085,-8573,7253,-2012,-532,243,0
1662,-8305,6134,-1710,-615,63,0
1352,-8215,5450,-1012,-495,12,0
1330,-8499,5320,-480,-371,155,0
1574,-8558,5806,-56,-337,341,0
1629,-8130,6592,286,-359,511,0
1699,-7780,7356,463,-425,658,0
2068,-7636,7873,445,-532,609,0
2450,-7363,8205,254,-630,463,0
2638,-6908,8263,-107,-730,356,0
2816,-6773,7750,-608,-833,231,0
2899,-6943,6993,-1126,-878,80,0
2759,-7152,6483,-1515,-852,-36,0
2494,-7391,6031,-1788,-847,-141,0
2634,-7789,5620,-1920,-841,-230,0
2730,-8540,5201,-1861,-774,-262,0
2846,-8856,4834,-1604,-659,-324,0
2717,-8584,4453,-1177,-479,-439,0
2571,-8322,4251,-686,-242,-512,0
2513,-8254,4422,-307,-35,-503,0
2335,-8105,4702,-129,120,-445,0
2206,-7897,5118,-90,240,-366,0
2343,-7794,5649,-161,298,-286,0
2719,-7755,5900,-377,280,-249,0
2946,-7443,5682,-652,219,-224,0
2864,-7524,5579,-804,204,-178,0
2686,-7807,5451,-883,192,-150,0
2294,-8212,5279,-961,124,-95,0
2090,-8777,5067,-1019,39,-40,0
2194,-9361,4532,-1024,-14,-14,0
2223,-9877,4034,-946,-9,-55,0
2276,-10106,3772,-790,70,-156,0
2475,-9957,3848,-605,173,-271,0
2855,-9565,3975,-515,201,-398,0
3271,-9088,4125,-519,191,-517,0
3421,-8506,4104,-565,166,-591,0
3439,-7982,3926,-586,136,-588,0
3377,-7680,3853,-532,113,-510,0
3288,-7556,3925,-435,83,-390,0
3276,-7528,3988,-329,51,-272,0
3223,-7585,4015,-232,38,-164,0
3189,-7682,4006,-123,76,-88,0
3356,-7871,4031,28,193,-33,0
3391,-7937,4367,202,366,-7,0
3361,-7820,4939,303,477,-55,0
3545,-7603,5391,250,472,-115,0
3745,-7382,5584,104,413,-144,0
3881,-7240,5625,-60,333,-164,0
3996,-7137,5595,-246,213,-172,0
4003,-7081,5511,-430,72,-147,0
4004,-7134,5376,-554,-35,-86,0
4104,-7377,5110,-609,-116,-9,0
4101,-7854,4817,-604,-201,71,0
4100,-8207,4411,-525,-274,126,0
4167,-8414,4156,-359,-276,141,0
4120,-8551,4167,-204,-242,156,0
4031,-8692,4215,-93,-211,194,0
3942,-8769,4246,-21,-218,218,0
3846,-8736,4155,-33,-288,202,0
3834,-8775,3960,-84,-363,190,0
3778,-8824,3718,-96,-378,194,0
3666,-8854,3478,-51,-327,190,0
3574,-8970,3269,42,-237,186,0
3396,-9088,3238,170,-162,192,0
3281,-9019,3501,291,-113,207,0
3265,-8949,3815,348,-76,202,0
3162,-8893,3985,332,-26,165,0
2970,-8812,4239,267,27,99,0
2797,-8731,4532,158,43,27,0
2699,-8625,4668,20,12,-35,0
2632,-8447,4704,-109,-34,-94,0
2547,-8237,4635,-189,-75,-133,0
2499,-8180,4571,-226,-106,-138,0
2512,-8144,4485,-249,-156,-124,0
2512,-8144,4485,-249,-156,-124,0
2637,-8036,4288,-237,-213,-99,0
2698,-8005,4101,-180,-223,-64,0
2706,-8025,3968,-99,-200,-30,0
2725,-8083,3760,-4,-178,6,0
2666,-8108,3676,122,-152,27,0
2649,-8033,3845,243,-124,34,0
2712,-7932,4043,274,-109,60,0
2772,-7905,4137,209,-130,85,0
2892,-7931,4140,99,-181,92,0
3008,-7992,4024,-22,-226,100,0
3089,-8099,3859,-117,-243,109,0
3122,-8195,3753,-152,-254,124,0
3079,-8279,3640,-151,-270,151,0
3106,-8418,3565,-131,-266,196,0
3112,-8668,3517,-101,-238,249,0
3112,-9018,3409,-56,-201,276,0
3101,-9286,3361,17,-152,250,0
3099,-9279,3466,112,-77,193,0
3147,-9154,3739,180,19,135,0
3129,-8921,4025,163,63,69,0
3088,-8637,4174,68,40,19,0
3122,-8615,4200,-36,-6,29,0
3105,-8705,4082,-108,-61,61,0
3136,-8800,3846,-119,-107,85,0
3143,-8949,3680,-71,-112,109,0
3077,-8984,3669,-3,-76,127,0
3065,-9022,3748,42,-46,131,0
3055,-9092,3773,43,-28,114,0
3089,-9176,3775,38,16,80,0
3096,-9164,3878,49,70,32,0
3100,-9068,4015,68,106,-17,0
3067,-8867,4162,77,116,-45,0
2978,-8735,4309,71,106,-45,0
2859,-8701,4386,51,73,-29,0
2808,-8710,4398,33,29,-4,0
2843,-8737,4350,33,-13,11,0
2905,-8751,4265,49,-27,5,0
2924,-8660,4243,61,-9,-21,0
2918,-8567,4216,45,12,-38,0
2922,-8537,4284,27,37,-37,0
2937,-8564,4357,10,36,-42,0
2899,-8577,4303,-18,18,-55,0
2818,-8631,4167,-31,3,-70,0
2809,-8527,4098,-14,-10,-87,0
2780,-8370,4118,17,-18,-69,0
2751,-8320,4166,39,-27,-27,0
2853,-8263,4173,36,-56,7,0
2952,-8293,4114,22,-87,39,0
2816,-8447,3957,10,-83,60,0
2703,-8662,3932,17,-43,79,0
2700,-8807,4039,34,-26,90,0
2790,-8810,4137,35,-34,65,0
2892,-8719,4188,7,-36,29,0
2923,-8575,4172,-42,-39,-2,0
2869,-8430,4109,-99,-52,-20,0
2778,-8385,4071,-131,-67,-11,0
2689,-8401,4102,-120,-83,17,0
2652,-8430,4134,-75,-97,44,0
2754,-8438,4230,-28,-116,66,0
2887,-8510,4235,-11,-152,87,0
3001,-8565,4012,-31,-181,87,0
3082,-8564,3664,-53,-179,75,0
3069,-8567,3458,-45,-144,67,0
3056,-8577,3390,-41,-82,72,0
3040,-8593,3425,-55,-7,93,0
3098,-8688,3609,-66,53,117,0
3198,-8880,3859,-87,82,135,0
3187,-8991,4021,-120,77,128,0
3135,-8984,4071,-149,51,106,0
3112,-8977,4012,-173,20,95,0
3055,-9027,3873,-193,-4,95,0
2989,-9109,3760,-187,-7,87,0
2919,-9219,3776,-153,3,90,0
2894,-9360,3832,-107,13,107,0
2905,-9522,3866,-50,12,110,0
2883,-9635,3741,7,17,82,0
2832,-9590,3657,54,42,39,0
2809,-9421,3629,68,58,-13,0
2885,-9170,3630,41,61,-70,0
2885,-8888,3606,-27,73,-123,0
2713,-8697,3618,-105,91,-142,0
2600,-8785,3707,-144,98,-109,0
2652,-8927,3851,-116,76,-63,0
2736,-8941,4005,-29,46,-44,0
2767,-8875,4094,67,21,-49,0
2749,-8654,4060,116,-4,-67,0
2737,-8414,3973,108,-26,-82,0
2721,-8268,3841,59,-24,-90,0
2660,-8249,3815,-19,3,-94,0
2642,-8400,3828,-88,35,-86,0
2796,-8553,3903,-118,47,-74,0
2796,-8553,3903,-118,47,-74,0
2936,-8630,3994,-109,39,-82,0
2996,-8549,3909,-78,16,-104,0
3040,-8346,3808,-28,-1,-111,0
3143,-8114,3786,0,-12,-101,0
3184,-7995,3717,-11,-16,-64,0
3093,-8045,3684,-27,-11,-6,0
2875,-8348,3733,-20,0,59,0
2762,-8808,3839,10,1,107,0
2727,-9118,3899,42,-4,107,0
2699,-9174,3955,59,-10,59,0
2770,-9107,4028,38,-28,0,0
2915,-8950,3946,-32,-55,-52,0
3034,-8778,3703,-107,-56,-80,0
3006,-8684,3568,-123,-24,-84,0
2906,-8670,3616,-80,18,-70,0
2874,-8672,3769,-17,49,-45,0
2899,-8622,3934,36,56,-27,0
2950,-8555,4025,65,43,-22,0
3019,-8470,4061,63,16,-26,0
3165,-8385,3984,49,-18,-25,0
3298,-8266,3836,33,-35,-26,0
3393,-8180,3737,18,-28,-23,0
3389,-8159,3640,6,-22,-10,0
3324,-8203,3527,6,-4,-1,0
3226,-8297,3498,30,35,14,0
3270,-8399,3652,54,72,28,0
3402,-8474,3788,30,93,38,0
3414,-8545,3883,-30,95,30,0
3430,-8661,3921,-100,85,17,0
3500,-8740,3872,-158,61,9,0
3499,-8733,3794,-195,42,6,0
3389,-8687,3706,-210,28,11,0
3280,-8706,3618,-204,19,31,0
3252,-8815,3517,-183,21,63,0
3289,-8928,3475,-148,25,90,0
3181,-9028,3463,-105,60,99,0
2851,-9322,3493,-66,116,111,0
2695,-9545,3652,-26,148,105,0
2707,-9518,3890,-1,162,77,0
2772,-9416,4128,-18,162,25,0
2871,-9292,4195,-86,138,-33,0
3035,-9092,4154,-172,100,-78,0
3116,-8860,4180,-226,70,-105,0
3094,-8605,4173,-267,37,-122,0
3011,-8509,3923,-330,5,-121,0
2625,-8717,3630,-351,0,-112,0
2330,-9026,3551,-305,55,-62,0
2274,-9324,3778,-222,105,52,0
2399,-9581,4195,-151,94,143,0
2715,-9754,4856,-147,63,160,0
2990,-9881,5233,-256,-8,90,0
3205,-9827,5007,-401,-103,-27,0
3246,-9870,4634,-485,-159,-127,0
3250,-10010,3966,-489,-197,-243,0
3256,-9963,3201,-430,-160,-386,0
2395,-9893,3336,-350,-55,-541,0
2924,-9154,2334,-335,-15,-699,0
2831,-8998,2164,-127,113,-576,0
2193,-8624,2934,100,361,-323,0
2174,-9024,4049,281,403,23,0
2943,-9684,5101,221,205,161,0
3618,-9402,5499,-77,-26,70,0
3708,-8749,5223,-327,-219,-31,0
3610,-9208,4388,-546,-370,-117,0
3476,-9165,3264,-687,-493,-207,0
3438,-9263,2221,-579,-441,-206,0
3274,-9610,1515,-246,-297,-174,0
2758,-9987,1363,182,-66,-121,0
2644,-10340,1746,487,275,-70,0
2608,-10558,2545,640,586,-56,0
2419,-10545,3830,666,717,-60,0
2353,-10527,4927,506,683,-96,0
2719,-10907,5703,171,594,-215,0
3007,-10919,6105,-275,372,-393,0
2391,-11000,5818,-654,41,-579,0
2227,-11091,4939,-784,-330,-871,0
2871,-11158,4148,-724,-567,-1124,0
2824,-11279,2789,-699,-542,-1237,0
3231,-10922,1976,-500,-389,-1350,0
3215,-10501,2409,-127,-196,-1383,0
3149,-9878,3108,121,-54,-1349,0
3231,-9253,3533,189,-57,-1278,0
3111,-8825,3773,166,-180,-1254,0
2863,-7902,4052,153,-359,-1303,0
4179,-7642,4465,97,-636,-1290,0
4049,-8250,4106,-64,-843,-1031,0
4061,-8256,3341,-127,-890,-943,0
4532,-8528,2679,-65,-893,-968,0
4904,-8481,2299,46,-811,-971,0
5124,-8152,2179,124,-626,-1014,0
5124,-8152,2179,124,-626,-1014,0
5280,-7958,2315,100,-444,-1067,0
5261,-8199,2660,39,-316,-1024,0
5089,-8575,3296,9,-242,-950,0
4787,-8733,3749,-54,-281,-1007,0
4655,-8966,3980,-136,-380,-1146,0
4526,-9170,3870,-257,-488,-1275,0
4429,-9490,3298,-367,-599,-1440,0
4591,-9662,2579,-393,-650,-1647,0
4964,-9340,2457,-355,-589,-1840,0
5221,-8752,2649,-359,-475,-1987,0
5298,-8308,2859,-435,-400,-2095,0
5432,-7802,2997,-556,-395,-2183,0
5512,-7393,2809,-687,-443,-2261,0
5553,-7377,2455,-800,-496,-2352,0
5576,-7261,1923,-898,-535,-2488,0
5546,-7162,1339,-922,-549,-2666,0
5474,-6984,1082,-893,-549,-2875,0
5002,-7302,660,-914,-541,-3129,0
4778,-7212,-351,-979,-477,-3536,0
4801,-5918,-477,-966,-315,-4022,0
4612,-3885,392,-996,-143,-4498,0
4597,-887,1126,-1179,-84,-4908,0
4411,2858,1103,-1490,-172,-5262,0
4279,6714,378,-1875,-273,-5536,0
4395,10515,-518,-2147,-309,-5509,0
5080,14292,-1513,-2132,-210,-5044,0
5918,17861,-2156,-1911,70,-4175,0
6833,21851,-2257,-1496,339,-2783,0
7594,26141,-2525,-988,392,-802,0
8959,28489,-2960,-737,426,1723,0
9153,28059,-3233,-679,754,4497,0
7239,25695,-2431,-586,1286,7118,0
3945,21080,-1065,-530,1504,9657,0
94,16048,-251,-253,1228,12181,0
-6044,10660,529,561,802,14647,0
-14468,5016,2942,1841,417,16984,0
-25266,-5691,8832,2962,-143,17453,0
26740,-26343,12895,3038,-1253,17453,0
26309,26309,13943,3038,-3200,16945,0
-25235,26309,15318,3650,-4773,10332,0
-13950,26602,11186,2973,-4198,1741,0
-18859,26744,5828,788,-981,-5180,0
-22340,-30865,8044,-2316,2119,-8359,0
-18311,-23389,10752,-6792,3451,-9460,0
-11924,-21408,9800,-9999,3924,-10491,0
-7697,-19318,8253,-9795,4167,-11516,0
-5876,-14365,4479,-7200,3901,-12354,0
-7901,-6426,63,-3838,3233,-12989,0
-9677,2493,-341,-881,2744,-13139,0
-9256,11321,1106,826,2541,-12816,0
-7563,20465,2506,1482,2602,-12252,0
1332,32368,3498,1824,2342,-11000,0
7677,-27221,4664,2455,1978,-8086,0
7538,-26310,6295,2470,2113,-3089,0
8542,-26357,6921,675,1528,3129,0
7134,-30023,5121,-891,393,8118,0
1641,24623,4212,-256,-296,11335,0
-2622,15500,3453,1205,-972,13795,0
-9395,8729,2412,2341,-1567,15886,0
-19854,2924,2159,3044,-1671,17453,0
31748,-13746,1441,3448,-1478,17453,0
27648,26351,-3476,3726,-1886,17232,0
-22117,26309,-2476,4392,-2611,12396,0
-641,26701,5794,2936,-1077,5350,0
-900,28113,9738,-237,1414,-770,0
-6247,-26841,10524,-2009,3399,-4055,0
-6996,-16773,9739,-3003,3397,-4684,0
-4023,-10886,8314,-3172,1880,-4139,0
-283,-8126,6391,-2326,394,-2942,0
1545,-8255,4588,-922,-559,-1494,0
1878,-9052,4000,386,-1017,-301,0
2236,-9501,4861,1234,-1145,347,0
1933,-9695,5435,1424,-1241,555,0
1844,-10036,4768,1014,-1437,442,0
2318,-9887,3185,329,-1607,124,0
3000,-9243,1331,-345,-1639,-300,0
3286,-8922,-198,-815,-1501,-669,0
3433,-8765,-1304,-979,-1138,-911,0
3329,-8084,-1382,-889,-695,-949,0
3126,-7433,-318,-690,-413,-782,0
2972,-7483,598,-505,-290,-509,0
3010,-7804,1201,-368,-237,-167,0
2885,-8378,1769,-246,-262,163,0
2722,-9209,2130,-149,-331,359,0
2661,-10113,2376,-117,-415,407,0
2563,-10610,2251,-166,-482,322,0
2418,-10837,1571,-157,-513,89,0
2663,-10516,942,-120,-465,-191,0
2815,-9708,711,-180,-319,-406,0
2806,-8943,903,-279,-141,-479,0
2827,-8540,1154,-367,-4,-427,0
2827,-8540,1154,-367,-4,-427,0
2976,-8244,1404,-404,61,-335,0
3038,-8242,1674,-387,47,-245,0
3282,-8126,1811,-337,-51,-165,0
3571,-7925,1731,-284,-183,-74,0
3709,-7910,1598,-243,-283,15,0
3481,-8205,1259,-233,-337,100,0
3034,-8958,687,-205,-337,168,0
3007,-9687,-46,-78,-283,147,0
3334,-9810,-113,171,-155,73,0
