aX,aY,aZ,gX,gY,gZ,target
2050,-5657,-10287,-2298,-748,447,0
1540,-5530,-10028,-1671,-522,533,0
1381,-5218,-9313,-1162,-373,581,0
1868,-4832,-8244,-794,-318,609,0
1977,-4648,-7429,-642,-468,627,0
1939,-4642,-7574,-705,-692,594,0
2214,-4467,-8906,-799,-869,572,0
2261,-4601,-10218,-717,-847,533,0
1898,-4685,-10855,-591,-614,477,0
1623,-4397,-10654,-561,-329,487,0
1432,-3774,-9986,-600,-99,499,0
1774,-3369,-9058,-630,82,470,0
1576,-2792,-8353,-647,143,547,0
1010,-2852,-7782,-657,191,730,0
906,-3782,-6820,-723,213,834,0
1539,-4280,-6182,-977,53,768,0
1829,-3930,-6296,-1294,-301,629,0
1607,-4012,-6856,-1437,-669,529,0
1160,-5056,-8353,-1439,-1062,458,0
1169,-5503,-10223,-1348,-1281,331,0
1236,-5263,-10902,-1040,-1194,79,0
1061,-4891,-10485,-624,-959,-203,0
733,-3920,-10008,-337,-756,-396,0
434,-2968,-9755,-221,-537,-436,0
666,-2882,-8696,-337,-337,-299,0
257,-3203,-8266,-891,-38,22,0
-336,-3107,-9125,-1452,-528,55,0
65,-2541,-9725,-1544,-1072,-180,0
723,-2510,-9962,-1469,-1040,-211,0
944,-2349,-9973,-1384,-891,-134,0
702,-2071,-9913,-1265,-737,-41,0
55,-1428,-10027,-1141,-670,-15,0
55,-1428,-10027,-1141,-670,-15,0
284,-408,-10375,-964,-664,-46,0
530,-786,-10496,-841,-555,126,0
26,-1661,-10836,-832,-253,313,0
456,-1981,-11320,-849,183,323,0
849,-2157,-11129,-657,536,294,0
816,-2493,-10451,-331,663,234,0
679,-2772,-9562,-25,639,155,0
404,-2949,-8690,132,529,61,0
148,-2731,-8118,81,351,-59,0
-38,-2359,-7916,-76,135,-177,0
-53,-1721,-8208,-262,-117,-242,0
17,-1108,-9219,-390,-369,-237,0
164,-566,-10445,-388,-469,-198,0
460,-434,-11087,-196,-422,-100,0
583,-796,-11075,75,-302,21,0
568,-1148,-10364,314,-160,103,0
597,-1400,-9525,395,22,153,0
495,-1425,-8907,306,162,183,0
353,-1525,-8357,133,204,214,0
245,-1741,-8287,-105,138,213,0
420,-1610,-8986,-374,88,147,0
474,-1472,-9841,-490,125,87,0
377,-1556,-10212,-369,154,116,0
374,-1691,-10320,-131,109,204,0
87,-1849,-10132,124,77,230,0
578,-1940,-9557,317,66,143,0
708,-2099,-9131,333,-10,88,0
591,-2199,-8807,270,-4,22,0
424,-1956,-8615,142,-6,-43,0
360,-1863,-8636,-1,-68,-35,0
316,-1719,-8808,-155,-142,-4,0
185,-997,-9681,-275,-220,-2,0
52,-708,-10394,-205,-227,50,0
495,-1092,-10418,-29,-218,118,0
865,-1611,-10054,108,-126,168,0
919,-1984,-9713,165,3,175,0
764,-2218,-9434,187,70,131,0
547,-2017,-9276,196,108,77,0
383,-1775,-8971,205,106,46,0
436,-1784,-8764,150,37,35,0
433,-1944,-8634,8,-11,66,0
282,-2062,-8527,-185,-51,78,0
298,-2165,-8536,-361,-128,43,0
377,-2157,-8626,-476,-256,-28,0
410,-1913,-8687,-564,-384,-108,0
361,-1617,-8770,-679,-464,-144,0
191,-1367,-8950,-812,-508,-134,0
156,-1042,-9384,-907,-535,-131,0
82,-936,-9852,-895,-585,-131,0
9,-966,-10102,-786,-612,-131,0
-35,-917,-9968,-665,-555,-135,0
-137,-757,-9820,-577,-516,-134,0
-132,-549,-10065,-517,-500,-111,0
-141,-640,-10514,-414,-452,-90,0
-417,-873,-10732,-271,-282,-113,0
-390,-986,-10373,-164,-32,-167,0
-336,-839,-10060,-116,100,-148,0
