device_time_ms,ax,ay,az,gx,gy,gz,label
0,32000.0,-264000.0,10010000.0,3000.0,-3000.0,0.0,idle
10,27000.0,-252000.0,9941000.0,1000.0,-3000.0,-1000.0,idle
20,21000.0,-238000.0,9870000.0,0.0,-4000.0,0.0,idle
30,32000.0,-173000.0,9687000.0,-3000.0,-9000.0,0.0,idle
40,28000.0,-254000.0,10213000.0,-9000.0,-13000.0,0.0,idle
50,17000.0,-249000.0,10546000.0,-1000.0,-3000.0,1000.0,idle
60,76000.0,-277000.0,9944000.0,3000.0,2000.0,0.0,idle
70,1000.0,-219000.0,9881000.0,3000.0,-2000.0,0.0,idle
80,-11000.0,-237000.0,9966000.0,3000.0,-1000.0,0.0,idle
90,-2000.0,-281000.0,9981000.0,2000.0,-1000.0,-1000.0,idle
100,3000.0,-272000.0,9893000.0,-1000.0,-4000.0,-1000.0,idle
110,11000.0,-278000.0,9950000.0,0.0,-6000.0,0.0,idle
120,52000.0,-257000.0,10054000.0,-2000.0,-7000.0,0.0,idle
130,38000.0,-239000.0,10020000.0,-2000.0,-7000.0,0.0,idle
140,15000.0,-227000.0,9955000.0,-1000.0,-6000.0,-1000.0,idle
150,45000.0,-246000.0,10091000.0,-1000.0,-7000.0,1000.0,idle
160,68000.0,-243000.0,10131000.0,-1000.0,-6000.0,0.0,idle
170,34000.0,-234000.0,10037000.0,2000.0,-3000.0,0.0,idle
180,0.0,-222000.0,9968000.0,1000.0,-3000.0,0.0,idle
190,4000.0,-245000.0,9963000.0,0.0,-3000.0,0.0,idle
200,33000.0,-251000.0,9975000.0,0.0,-3000.0,0.0,idle
210,26000.0,-246000.0,10021000.0,-1000.0,-3000.0,-1000.0,idle
220,28000.0,-254000.0,10043000.0,0.0,-4000.0,-1000.0,idle
230,41000.0,-262000.0,10020000.0,1000.0,-2000.0,-1000.0,idle
240,32000.0,-263000.0,9975000.0,1000.0,-2000.0,-1000.0,idle
250,26000.0,-253000.0,9982000.0,1000.0,-5000.0,1000.0,idle
260,26000.0,-250000.0,10020000.0,-1000.0,-5000.0,0.0,idle
270,31000.0,-252000.0,10020000.0,0.0,-4000.0,0.0,idle
280,16000.0,-251000.0,9999000.0,0.0,-3000.0,0.0,idle
290,27000.0,-252000.0,10016000.0,-1000.0,-4000.0,0.0,idle
300,31000.0,-245000.0,9998000.0,-1000.0,-3000.0,0.0,idle
310,15000.0,-249000.0,10006000.0,1000.0,-4000.0,0.0,idle
320,15000.0,-241000.0,9986000.0,0.0,-3000.0,-1000.0,idle
330,31000.0,-249000.0,9963000.0,1000.0,-3000.0,0.0,idle
340,29000.0,-257000.0,9982000.0,1000.0,-4000.0,0.0,idle
350,43000.0,-259000.0,10036000.0,-1000.0,-4000.0,0.0,idle
360,41000.0,-270000.0,10054000.0,-1000.0,-4000.0,0.0,idle
370,37000.0,-260000.0,10037000.0,0.0,-5000.0,0.0,idle
380,20000.0,-241000.0,9998000.0,2000.0,-5000.0,-1000.0,idle
390,20000.0,-234000.0,10012000.0,2000.0,-2000.0,0.0,idle
400,20000.0,-253000.0,10006000.0,1000.0,-2000.0,0.0,idle
410,15000.0,-249000.0,10012000.0,1000.0,-2000.0,1000.0,idle
420,31000.0,-249000.0,10041000.0,1000.0,-3000.0,0.0,idle
430,41000.0,-247000.0,10035000.0,2000.0,-4000.0,0.0,idle
440,28000.0,-257000.0,10016000.0,1000.0,-3000.0,-1000.0,idle
450,35000.0,-262000.0,9996000.0,3000.0,-2000.0,0.0,idle
460,19000.0,-240000.0,10000000.0,1000.0,-3000.0,0.0,idle
