IQ,9,0,6,0.0,0.0,0.0,0.0
IQ,9,0,7,-48.0,-43.0,-73.0,-15.0
IQ,9,0,8,0.0,0.0,0.0,0.0
IQ,9,0,9,36.0,-30.0,15.0,53.0
IQ,9,0,10,36.0,18.0,45.0,-8.0
IQ,9,0,11,19.0,-32.0,8.0,38.0
IQ,9,0,12,15.0,-27.0,3.0,32.0
IQ,9,0,13,18.0,17.0,30.0,-3.0
IQ,9,0,14,-1.0,23.0,18.0,-15.0
IQ,9,0,15,-9.0,24.0,19.0,-20.0
IQ,9,0,16,26.0,-4.0,4.0,30.0
IQ,9,0,17,15.0,-29.0,-23.0,30.0
IQ,9,0,18,36.0,7.0,29.0,25.0
IQ,9,0,19,37.0,8.0,36.0,24.0
IQ,9,0,20,42.0,6.0,43.0,19.0
IQ,9,0,21,31.0,35.0,35.0,-26.0
IQ,9,0,22,25.0,40.0,27.0,-39.0
IQ,9,0,23,0.0,0.0,0.0,0.0
IQ,9,0,24,0.0,0.0,0.0,0.0
IQ,9,0,25,0.0,0.0,0.0,0.0
IQ,9,0,26,27.0,35.0,-11.0,-47.0
IQ,9,0,27,10.0,36.0,-30.0,-34.0
IQ,9,0,28,-18.0,40.0,-43.0,-1.0
IQ,9,0,29,38.0,14.0,0.0,-46.0
IQ,9,0,30,0.0,0.0,0.0,0.0
IQ,9,0,31,-7.0,46.0,-41.0,-2.0
IQ,9,0,32,-36.0,33.0,-39.0,27.0
IQ,9,0,33,-3.0,51.0,-48.0,1.0
IQ,9,0,34,39.0,29.0,-34.0,-37.0
IQ,9,0,35,0.0,0.0,0.0,0.0
IQ,9,0,36,17.0,51.0,-52.0,12.0
IQ,9,0,37,0.0,0.0,0.0,0.0
IQ,9,0,38,49.0,32.0,-57.0,-8.0
IQ,9,0,39,32.0,52.0,-55.0,22.0
IQ,9,0,40,20.0,60.0,-43.0,47.0
IQ,9,0,41,-55.0,41.0,37.0,55.0
IQ,9,0,42,-68.0,39.0,48.0,53.0
IQ,9,0,43,4.0,90.0,-11.0,83.0
IQ,9,0,44,35.0,93.0,-14.0,90.0
IQ,9,0,45,-109.0,-31.0,74.0,-72.0
