IQ,500,0,2,52.0,-107.0,-78.0,-108.0
IQ,500,0,3,109.0,48.0,-77.0,113.0
IQ,500,0,4,-77.0,-95.0,-9.0,-134.0
IQ,500,0,5,-129.0,-6.0,48.0,-128.0
IQ,500,0,6,-101.0,-84.0,-83.0,-112.0
IQ,500,0,7,-53.0,118.0,107.0,-87.0
IQ,500,0,8,35.0,-126.0,-90.0,100.0
IQ,500,0,9,-119.0,-47.0,-132.0,-32.0
IQ,500,0,10,130.0,24.0,137.0,24.0
IQ,500,0,11,-127.0,41.0,-125.0,-52.0
IQ,500,0,12,65.0,112.0,42.0,-128.0
IQ,500,0,13,42.0,-113.0,105.0,75.0
IQ,500,0,14,123.0,-5.0,89.0,-97.0
IQ,500,0,15,36.0,120.0,-103.0,-74.0
IQ,500,0,16,15.0,-119.0,125.0,-3.0
IQ,500,0,17,-122.0,-46.0,55.0,119.0
IQ,500,0,18,0.0,0.0,0.0,0.0
IQ,500,0,19,-66.0,105.0,-37.0,120.0
IQ,500,0,20,0.0,0.0,0.0,0.0
IQ,500,0,21,0.0,0.0,0.0,0.0
IQ,500,0,22,0.0,0.0,0.0,0.0
IQ,500,0,23,0.0,0.0,0.0,0.0
IQ,500,0,24,0.0,0.0,0.0,0.0
IQ,500,0,25,0.0,0.0,0.0,0.0
IQ,500,0,26,0.0,0.0,0.0,0.0
IQ,500,0,27,0.0,0.0,0.0,0.0
IQ,500,0,28,38.0,-89.0,-73.0,54.0
IQ,500,0,29,65.0,-69.0,-18.0,88.0
IQ,500,0,30,66.0,-50.0,-5.0,80.0
IQ,500,0,31,-40.0,-73.0,-71.0,33.0
IQ,500,0,32,54.0,56.0,72.0,-19.0
IQ,500,0,33,68.0,-43.0,41.0,54.0
IQ,500,0,34,-56.0,50.0,-41.0,-58.0
IQ,500,0,35,73.0,12.0,66.0,-4.0
IQ,500,0,36,71.0,15.0,68.0,-20.0
IQ,500,0,37,77.0,12.0,63.0,-32.0
IQ,500,0,38,62.0,44.0,49.0,-55.0
IQ,500,0,39,-72.0,-48.0,-45.0,66.0
