IQ,986,0,38,98.0,78.0,-91.0,-88.0
IQ,986,0,39,-127.0,-5.0,21.0,124.0
IQ,986,0,40,117.0,56.0,-58.0,-114.0
IQ,986,0,41,91.0,-96.0,62.0,-114.0
IQ,986,0,42,-67.0,-117.0,129.0,23.0
IQ,986,0,43,80.0,110.0,-133.0,-12.0
IQ,986,0,44,139.0,-14.0,-66.0,-117.0
IQ,986,0,45,78.0,119.0,-134.0,-27.0
IQ,986,0,46,93.0,-111.0,35.0,-135.0
IQ,986,0,47,-47.0,141.0,-59.0,127.0
IQ,986,0,48,-89.0,123.0,-26.0,138.0
IQ,986,0,49,-149.0,-38.0,132.0,59.0
IQ,986,0,50,156.0,-17.0,-120.0,-86.0
IQ,986,0,51,150.0,-54.0,-102.0,-107.0
IQ,986,0,52,-131.0,-98.0,143.0,-43.0
IQ,986,0,53,-113.0,121.0,26.0,148.0
IQ,986,0,54,-60.0,157.0,27.0,149.0
IQ,986,0,55,-11.0,170.0,-26.0,150.0
IQ,986,0,56,-173.0,1.0,147.0,48.0
IQ,986,0,57,171.0,32.0,-154.0,25.0
IQ,986,0,58,-107.0,-141.0,91.0,-128.0
IQ,986,0,59,100.0,148.0,-82.0,135.0
IQ,986,0,60,127.0,129.0,-89.0,133.0
IQ,986,0,61,-164.0,-88.0,100.0,-126.0
IQ,986,0,62,-183.0,-48.0,135.0,-91.0
IQ,986,0,63,-56.0,-182.0,-63.0,-153.0
IQ,986,0,64,-85.0,151.0,142.0,88.0
IQ,986,0,65,66.0,-184.0,-138.0,-98.0
IQ,986,0,66,-117.0,-161.0,-56.0,-161.0
IQ,986,0,67,-200.0,27.0,137.0,-106.0
IQ,986,0,68,43.0,-200.0,-154.0,-82.0
IQ,986,0,69,-98.0,-183.0,-119.0,-130.0
IQ,986,0,70,-201.0,-57.0,20.0,-177.0
IQ,986,0,71,-19.0,209.0,179.0,-6.0
IQ,986,0,72,158.0,141.0,108.0,144.0
IQ,986,0,73,-203.0,-73.0,-10.0,-183.0
IQ,986,0,74,-215.0,-41.0,-50.0,-178.0
IQ,986,0,75,175.0,-134.0,-87.0,166.0
IQ,986,0,76,-214.0,69.0,15.0,-188.0
CS,986,0,1,1.757,2.187,1.290,23,396
IQ,989,0,2,84.0,-76.0,29.0,129.0
IQ,989,0,3,78.0,81.0,125.0,-22.0
IQ,989,0,4,99.0,46.0,127.0,7.0
IQ,989,0,5,111.0,10.0,104.0,71.0
IQ,989,0,6,-2.0,-114.0,-58.0,114.0
IQ,989,0,7,81.0,-80.0,24.0,127.0
IQ,989,0,8,110.0,30.0,127.0,28.0
IQ,989,0,9,0.0,0.0,0.0,0.0
IQ,989,0,10,0.0,0.0,0.0,0.0
IQ,989,0,11,-95.0,-77.0,-107.0,81.0
IQ,989,0,12,-76.0,96.0,-29.0,-132.0
IQ,989,0,13,119.0,-40.0,117.0,72.0
IQ,989,0,14,51.0,116.0,66.0,-122.0
IQ,989,0,15,-22.0,125.0,-35.0,-129.0
IQ,989,0,16,79.0,103.0,59.0,-128.0
IQ,989,0,17,115.0,67.0,96.0,-107.0
IQ,989,0,18,-98.0,93.0,-99.0,-85.0
