device_time_ms,ax,ay,az,gx,gy,gz,temp,hum,pres,label
855076,2472088.0,-247807.0,10107430.0,2663.0,-27165.0,8522.0,19810000.0,57352000.0,100953000.0,vel2
855086,-720676.0,-764970.0,9973351.0,15446.0,43144.0,0.0,19810000.0,57352000.0,100953000.0,vel2
855096,120910.0,520754.0,9942225.0,31958.0,-14914.0,-20773.0,19810000.0,57352000.0,100953000.0,vel2
855106,689551.0,408223.0,10008068.0,-14381.0,-10120.0,-3195.0,19810000.0,57352000.0,100953000.0,vel2
855116,263370.0,-725465.0,9906311.0,-35687.0,-5326.0,-4261.0,19810000.0,57352000.0,100953000.0,vel2
855126,2189564.0,-450123.0,10243904.0,1065.0,-27697.0,0.0,19810000.0,57352000.0,100953000.0,vel2
855136,-767365.0,-664411.0,9923071.0,15446.0,40481.0,2130.0,19810000.0,57352000.0,100953000.0,vel2
855146,-71828.0,527937.0,9856031.0,33024.0,-10120.0,-15979.0,19810000.0,57352000.0,100953000.0,vel2
855156,1164814.0,628497.0,10032011.0,-8522.0,-17577.0,-2130.0,19810000.0,57352000.0,100953000.0,vel2
855166,234638.0,-706311.0,10008068.0,-39415.0,-2130.0,-2663.0,19810000.0,57352000.0,100953000.0,vel2
855176,1843591.0,-458503.0,10196018.0,-3728.0,-27165.0,-1597.0,19810000.0,57352000.0,100953000.0,vel2
855186,-712296.0,-690748.0,9816526.0,14914.0,39415.0,9587.0,19810000.0,57352000.0,100953000.0,vel2
855196,-120910.0,490826.0,10049968.0,34622.0,-6391.0,-12783.0,19810000.0,57352000.0,100953000.0,vel2
855206,1564658.0,799687.0,9972154.0,-3195.0,-20773.0,-3728.0,19810000.0,57352000.0,100953000.0,vel2
855216,-73025.0,-752999.0,10020039.0,-43144.0,2130.0,-1597.0,19810000.0,57352000.0,100953000.0,vel2
855226,1511984.0,-531528.0,10072713.0,-7989.0,-30360.0,-2130.0,19810000.0,57352000.0,100953000.0,vel2
855236,-342381.0,-679974.0,9908705.0,13848.0,36220.0,12250.0,19810000.0,57352000.0,100953000.0,vel2
855246,-216681.0,272947.0,9947014.0,37285.0,-1065.0,-11718.0,19810000.0,57352000.0,100953000.0,vel2
855256,1741834.0,1031932.0,10005674.0,5326.0,-26632.0,-4793.0,19810000.0,57352000.0,100953000.0,vel2
855266,-101756.0,-738633.0,10055953.0,-45275.0,5859.0,-2663.0,19810000.0,57352000.0,100953000.0,vel2
855276,1029538.0,-745816.0,9986519.0,-14914.0,-28763.0,-4261.0,19810000.0,57352000.0,100953000.0,vel2
855287,113728.0,-731450.0,9935042.0,13848.0,25034.0,9587.0,19810000.0,57352000.0,100953000.0,vel2
855297,-80208.0,152036.0,9957788.0,39948.0,6391.0,-9587.0,19810000.0,57352000.0,100953000.0,vel2
855307,1636486.0,1144463.0,10078699.0,12783.0,-26099.0,-6924.0,19810000.0,57352000.0,100953000.0,vel2
855317,-171190.0,-624905.0,9957788.0,-47405.0,7457.0,-1065.0,19810000.0,57352000.0,100953000.0,vel2
855327,725465.0,-822433.0,10057150.0,-21305.0,-28230.0,-4261.0,19810000.0,57352000.0,100953000.0,vel2
855337,653637.0,-723070.0,9981731.0,10652.0,13848.0,9587.0,19810000.0,57352000.0,100953000.0,vel2
855347,-25139.0,-15562.0,9941028.0,38883.0,13848.0,-10652.0,19810000.0,57352000.0,100953000.0,vel2
855357,1505998.0,1084606.0,10122993.0,21305.0,-27165.0,-9587.0,19810000.0,57352000.0,100953000.0,vel2
855367,-385478.0,-490826.0,9955394.0,-43677.0,11185.0,0.0,19810000.0,57352000.0,100953000.0,vel2
855377,525543.0,-806870.0,10018842.0,-22371.0,-27165.0,-4261.0,19820000.0,57352000.0,100959000.0,vel2
855387,1177983.0,-456109.0,10048771.0,9587.0,4261.0,20240.0,19820000.0,57352000.0,100959000.0,vel2
855397,-110136.0,-11971.0,9923071.0,29828.0,19175.0,-11185.0,19820000.0,57352000.0,100959000.0,vel2
855407,1285725.0,917007.0,10157710.0,22371.0,-27697.0,-12783.0,19820000.0,57352000.0,100959000.0,vel2
855417,-427378.0,-369915.0,9887157.0,-36752.0,11718.0,-532.0,19820000.0,57352000.0,100959000.0,vel2
855427,233441.0,-721873.0,10021236.0,-25034.0,-21305.0,-4261.0,19820000.0,57352000.0,100959000.0,vel2
855437,1887885.0,-283721.0,9923071.0,8522.0,-5859.0,19175.0,19820000.0,57352000.0,100959000.0,vel2
855447,-306467.0,-245413.0,10010462.0,24501.0,26632.0,-11718.0,19820000.0,57352000.0,100959000.0,vel2
855457,909824.0,855953.0,10079896.0,26099.0,-25034.0,-17044.0,19820000.0,57352000.0,100959000.0,vel2
855467,-257384.0,-166402.0,9890748.0,-30360.0,9587.0,-2130.0,19820000.0,57352000.0,100959000.0,vel2
855477,-17957.0,-832010.0,10028419.0,-25567.0,-19175.0,-4793.0,19820000.0,57352000.0,100959000.0,vel2
855487,2444554.0,-180767.0,9955394.0,6391.0,-14914.0,14914.0,19820000.0,57352000.0,100959000.0,vel2
855497,-523149.0,-594977.0,10081093.0,20773.0,36220.0,-9055.0,19820000.0,57352000.0,100959000.0,vel2
855507,483643.0,779336.0,9969759.0,30893.0,-22371.0,-17044.0,19820000.0,57352000.0,100959000.0,vel2
855517,141262.0,129290.0,9914691.0,-24501.0,1065.0,-2130.0,19820000.0,57352000.0,100959000.0,vel2
855527,-70631.0,-733845.0,10087079.0,-32491.0,-13316.0,-5326.0,19820000.0,57352000.0,100959000.0,vel2
855537,2643279.0,-385478.0,10012856.0,4261.0,-24501.0,6391.0,19820000.0,57352000.0,100959000.0,vel2
855547,-600962.0,-743422.0,9976942.0,18642.0,39415.0,-3195.0,19820000.0,57352000.0,100959000.0,vel2
855557,155627.0,685959.0,9937437.0,31426.0,-15979.0,-13316.0,19820000.0,57352000.0,100959000.0,vel2
855567,524346.0,310058.0,10002082.0,-19175.0,-6391.0,-2663.0,19820000.0,57352000.0,100959000.0,vel2
855577,80208.0,-790110.0,10036799.0,-36220.0,-8522.0,-2663.0,19820000.0,57352000.0,100959000.0,vel2
855587,2455328.0,-447729.0,10099050.0,532.0,-26632.0,7457.0,19820000.0,57352000.0,100959000.0,vel2
855597,-769759.0,-784124.0,9993702.0,18642.0,43677.0,5859.0,19820000.0,57352000.0,100959000.0,vel2
855607,100559.0,573428.0,9924268.0,36220.0,-15446.0,-14381.0,19820000.0,57352000.0,100959000.0,vel2
855617,907430.0,578217.0,10015251.0,-12250.0,-14914.0,-2663.0,19820000.0,57352000.0,100959000.0,vel2
855627,907430.0,578217.0,10015251.0,-12250.0,-14914.0,-2663.0,19820000.0,57352000.0,100959000.0,vel2
855637,79011.0,-798490.0,9966168.0,-39948.0,-5859.0,-1597.0,19820000.0,57352000.0,100959000.0,vel2
855647,2372726.0,-529134.0,10264255.0,-2130.0,-30360.0,1597.0,19820000.0,57352000.0,100959000.0,vel2
855657,-895458.0,-776942.0,9883566.0,17577.0,45807.0,2663.0,19820000.0,57352000.0,100959000.0,vel2
855667,-110136.0,645257.0,9921874.0,43144.0,-8522.0,-12250.0,19820000.0,57352000.0,100959000.0,vel2
855677,1339596.0,808067.0,10020039.0,-3728.0,-20773.0,-4261.0,19820000.0,57352000.0,100959000.0,vel2
855687,-5985.0,-703916.0,10005674.0,-47405.0,-1597.0,-3195.0,19820000.0,57352000.0,100959000.0,vel2
855697,1969290.0,-623708.0,10081093.0,-9587.0,-32491.0,-2130.0,19820000.0,57352000.0,100959000.0,vel2
855707,-612934.0,-806870.0,9864411.0,14914.0,41013.0,4793.0,19820000.0,57352000.0,100959000.0,vel2
855717,-180767.0,475263.0,10008068.0,43677.0,-1597.0,-12250.0,19820000.0,57352000.0,100959000.0,vel2
855727,1612544.0,1058269.0,9942225.0,4793.0,-22903.0,-5859.0,19820000.0,57352000.0,100959000.0,vel2
855737,-183162.0,-737436.0,10043982.0,-48471.0,6391.0,-2130.0,19820000.0,57352000.0,100959000.0,vel2
855747,1470084.0,-744619.0,10008068.0,-14381.0,-33556.0,-2663.0,19820000.0,57352000.0,100959000.0,vel2
855757,-142459.0,-790110.0,9895537.0,11185.0,33024.0,10652.0,19820000.0,57352000.0,100959000.0,vel2
855767,-249004.0,172387.0,9972154.0,40481.0,4261.0,-11718.0,19820000.0,57352000.0,100959000.0,vel2
855777,1792114.0,1258191.0,10069122.0,11185.0,-28230.0,-9055.0,19820000.0,57352000.0,100959000.0,vel2
855787,-126896.0,-711099.0,10003279.0,-48471.0,7989.0,-3195.0,19820000.0,57352000.0,100959000.0,vel2
855797,764970.0,-864333.0,10034405.0,-18110.0,-29828.0,-4793.0,19820000.0,57352000.0,100959000.0,vel2
855807,413012.0,-657228.0,9949408.0,12783.0,20240.0,20240.0,19820000.0,57352000.0,100959000.0,vel2
855817,22745.0,28731.0,9927860.0,36752.0,6924.0,-11718.0,19820000.0,57352000.0,100959000.0,vel2
855827,1678386.0,1031932.0,10151724.0,14914.0,-26632.0,-11718.0,19820000.0,57352000.0,100959000.0,vel2
855837,-354352.0,-683565.0,9933845.0,-41013.0,13848.0,-3728.0,19820000.0,57352000.0,100959000.0,vel2
855847,550683.0,-768562.0,10012856.0,-15979.0,-29295.0,-5326.0,19820000.0,57352000.0,100959000.0,vel2
855857,950527.0,-447729.0,10041588.0,11718.0,9055.0,23969.0,19820000.0,57352000.0,100959000.0,vel2
855867,-92179.0,-95770.0,9913494.0,28763.0,15446.0,-11718.0,19820000.0,57352000.0,100959000.0,vel2
855877,1538321.0,873910.0,10163696.0,18110.0,-30360.0,-14381.0,19820000.0,57352000.0,100959000.0,vel2
855888,-415406.0,-427378.0,9913494.0,-38350.0,12250.0,-2130.0,19820000.0,57352000.0,100959000.0,vel2
855898,324424.0,-701522.0,9974548.0,-20773.0,-23436.0,-5859.0,19820000.0,57352000.0,100959000.0,vel2
855908,1589798.0,-299284.0,10004476.0,10652.0,-2130.0,15446.0,19820000.0,57352000.0,100959000.0,vel2
855918,-306467.0,-122108.0,9942225.0,26099.0,25567.0,-11185.0,19820000.0,57352000.0,100959000.0,vel2
855928,1118126.0,832010.0,10118204.0,22903.0,-27697.0,-17044.0,19820000.0,57352000.0,100959000.0,vel2
855938,-234638.0,-241821.0,9894340.0,-34622.0,5859.0,-2663.0,19820000.0,57352000.0,100959000.0,vel2
