device_time_ms,ax,ay,az,gx,gy,gz,temp,hum,pres,label
1227121,1653246.0,84996.0,9933845.0,2130.0,-15446.0,2130.0,19910000.0,57686000.0,100965000.0,vel3
1227131,13168.0,-204710.0,9972154.0,-3195.0,10120.0,-5326.0,19910000.0,57686000.0,100965000.0,vel3
1227141,1539518.0,-58659.0,10134964.0,2130.0,-22371.0,-4261.0,19910000.0,57686000.0,100965000.0,vel3
1227151,-105348.0,-342381.0,9978139.0,-5859.0,14914.0,1065.0,19910000.0,57686000.0,100965000.0,vel3
1227161,470474.0,-38308.0,9973351.0,3195.0,-15979.0,-10652.0,19910000.0,57686000.0,100965000.0,vel3
1227171,251398.0,-305270.0,9921874.0,-2663.0,6391.0,4793.0,19910000.0,57686000.0,100965000.0,vel3
1227181,-74222.0,-169993.0,10034405.0,532.0,-5326.0,-9587.0,19910000.0,57686000.0,100965000.0,vel3
1227191,1294105.0,14365.0,9926663.0,532.0,-12250.0,4793.0,19910000.0,57686000.0,100965000.0,vel3
1227201,140065.0,-128093.0,9929057.0,-1065.0,6924.0,-6924.0,19910000.0,57686000.0,100965000.0,vel3
1227211,1571841.0,65842.0,10115810.0,3195.0,-20240.0,-3728.0,19910000.0,57686000.0,100965000.0,vel3
1227221,-43096.0,-415406.0,10085882.0,-4261.0,13848.0,-2130.0,19910000.0,57686000.0,100965000.0,vel3
1227231,779336.0,-134079.0,9998491.0,2130.0,-17577.0,-8522.0,19910000.0,57686000.0,100965000.0,vel3
1227241,77813.0,-203513.0,9957788.0,-2663.0,10652.0,3728.0,19910000.0,57686000.0,100965000.0,vel3
1227251,204710.0,-210696.0,9950605.0,3195.0,-8522.0,-9055.0,19910000.0,57686000.0,100965000.0,vel3
1227261,764970.0,-20351.0,10014054.0,0.0,-5859.0,5859.0,19910000.0,57686000.0,100965000.0,vel3
1227271,-44294.0,-132882.0,9962577.0,-1597.0,2130.0,-6924.0,19910000.0,57686000.0,100965000.0,vel3
1227281,1816057.0,46688.0,9949408.0,0.0,-19707.0,-1065.0,19910000.0,57686000.0,100965000.0,vel3
1227291,-41899.0,-446532.0,9988914.0,-6391.0,15446.0,-5859.0,19910000.0,57686000.0,100965000.0,vel3
1227301,1210305.0,-17957.0,10156513.0,3195.0,-21838.0,-6924.0,19910000.0,57686000.0,100965000.0,vel3
1227311,-81405.0,-254990.0,9864411.0,-3195.0,15446.0,3195.0,19910000.0,57686000.0,100965000.0,vel3
1227321,311255.0,-88588.0,10018842.0,4261.0,-12250.0,-10120.0,19910000.0,57686000.0,100965000.0,vel3
1227331,398646.0,-119713.0,9986519.0,-1065.0,-532.0,6391.0,19910000.0,57686000.0,100965000.0,vel3
1227341,-70631.0,-301678.0,10042785.0,-1597.0,1065.0,-8522.0,19910000.0,57686000.0,100965000.0,vel3
1227351,1703526.0,51476.0,9907508.0,1597.0,-16512.0,2130.0,19910000.0,57686000.0,100965000.0,vel3
1227361,33519.0,-213090.0,9969759.0,-1597.0,11718.0,-4793.0,19910000.0,57686000.0,100965000.0,vel3
1227371,1496421.0,-27534.0,10143344.0,3195.0,-20773.0,-5326.0,19910000.0,57686000.0,100965000.0,vel3
1227381,-156824.0,-348366.0,9941028.0,-3728.0,17044.0,1065.0,19910000.0,57686000.0,100965000.0,vel3
1227391,477657.0,-68236.0,9984125.0,3195.0,-14914.0,-9055.0,19910000.0,57686000.0,100965000.0,vel3
1227401,276538.0,-372309.0,9942225.0,-2130.0,5859.0,6924.0,19910000.0,57686000.0,100965000.0,vel3
1227411,-100559.0,-142459.0,10052362.0,2663.0,-4261.0,-8522.0,19910000.0,57686000.0,100965000.0,vel3
1227421,1383890.0,37111.0,9930254.0,2130.0,-12783.0,3728.0,19910000.0,57686000.0,100965000.0,vel3
1227431,64645.0,-156824.0,9961380.0,-1065.0,6924.0,-6391.0,19910000.0,57686000.0,100965000.0,vel3
1227441,1656838.0,20351.0,10121796.0,3195.0,-21838.0,-4261.0,19910000.0,57686000.0,100965000.0,vel3
1227451,-86193.0,-429772.0,10090670.0,-3728.0,14914.0,-1597.0,19910000.0,57686000.0,100965000.0,vel3
1227461,735042.0,-152036.0,9981731.0,4261.0,-17044.0,-8522.0,19910000.0,57686000.0,100965000.0,vel3
1227471,77813.0,-196330.0,9942225.0,-1065.0,11718.0,3195.0,19910000.0,57686000.0,100965000.0,vel3
1227481,150839.0,-183162.0,9984125.0,2663.0,-10120.0,-7989.0,19910000.0,57686000.0,100965000.0,vel3
1227491,899050.0,-15562.0,10033208.0,-532.0,-7457.0,5859.0,19910000.0,57686000.0,100965000.0,vel3
1227501,-17957.0,-171190.0,9970957.0,0.0,4261.0,-7989.0,19910000.0,57686000.0,100965000.0,vel3
1227511,1769369.0,73025.0,10034405.0,5326.0,-20240.0,-1065.0,19910000.0,57686000.0,100965000.0,vel3
1227521,-74222.0,-433363.0,10006871.0,-1597.0,14914.0,-2663.0,19910000.0,57686000.0,100965000.0,vel3
1227531,1157631.0,-45491.0,10106233.0,3728.0,-20240.0,-7989.0,19910000.0,57686000.0,100965000.0,vel3
1227541,-75419.0,-229850.0,9879974.0,-2663.0,14914.0,0.0,19910000.0,57686000.0,100965000.0,vel3
1227551,287312.0,-147247.0,10016448.0,4261.0,-10120.0,-9587.0,19910000.0,57686000.0,100965000.0,vel3
1227561,476460.0,-104150.0,10016448.0,1065.0,-1597.0,4793.0,19910000.0,57686000.0,100965000.0,vel3
1227571,-86193.0,-234638.0,10029616.0,1065.0,-1065.0,-7457.0,19910000.0,57686000.0,100965000.0,vel3
1227581,1731060.0,62251.0,9918283.0,532.0,-18642.0,2130.0,19910000.0,57686000.0,100965000.0,vel3
1227591,29928.0,-320832.0,10006871.0,-3195.0,11185.0,-6391.0,19910000.0,57686000.0,100965000.0,vel3
1227601,1400650.0,-35914.0,10173273.0,4261.0,-19175.0,-5859.0,19910000.0,57686000.0,100965000.0,vel3
1227611,-143656.0,-332804.0,9906311.0,-1597.0,17044.0,2130.0,19910000.0,57686000.0,100965000.0,vel3
1227621,468080.0,21548.0,9976942.0,4261.0,-15446.0,-9587.0,19910000.0,57686000.0,100965000.0,vel3
1227631,278933.0,-329212.0,9930254.0,-3195.0,6391.0,4793.0,19910000.0,57686000.0,100965000.0,vel3
1227641,-108939.0,-187950.0,10041588.0,3195.0,-3195.0,-9587.0,19910000.0,57686000.0,100965000.0,vel3
1227651,1549095.0,62251.0,9937437.0,2130.0,-14381.0,4261.0,19910000.0,57686000.0,100965000.0,vel3
1227661,8379.0,-179570.0,9969759.0,-3195.0,9055.0,-7989.0,19910000.0,57686000.0,100965000.0,vel3
1227671,1692752.0,27534.0,10103839.0,3195.0,-22371.0,-4261.0,19910000.0,57686000.0,100965000.0,vel3
1227681,-183162.0,-363929.0,10070319.0,-6391.0,15979.0,532.0,19910000.0,57686000.0,100965000.0,vel3
1227691,669199.0,-141262.0,9901523.0,3195.0,-18110.0,-9055.0,19910000.0,57686000.0,100965000.0,vel3
1227701,174782.0,-298087.0,9933845.0,-2663.0,9587.0,4793.0,19910000.0,57686000.0,100965000.0,vel3
1227711,25139.0,-142459.0,10018842.0,2663.0,-6924.0,-9587.0,19910000.0,57686000.0,100965000.0,vel3
1227721,1085803.0,33519.0,10021236.0,0.0,-8522.0,3195.0,19910000.0,57686000.0,100965000.0,vel3
1227732,-7182.0,-135276.0,9939831.0,-3195.0,3728.0,-7989.0,19910000.0,57686000.0,100965000.0,vel3
1227741,1707117.0,55068.0,10046376.0,1065.0,-20773.0,-2130.0,19910000.0,57686000.0,100965000.0,vel3
1227752,-46688.0,-496812.0,10011659.0,-3195.0,14914.0,-2663.0,19910000.0,57686000.0,100965000.0,vel3
1227762,1027143.0,-88588.0,10069122.0,4261.0,-20773.0,-6924.0,19910000.0,57686000.0,100965000.0,vel3
1227772,-50279.0,-162810.0,9896734.0,-4793.0,14381.0,3195.0,19910000.0,57686000.0,100965000.0,vel3
1227782,316044.0,-172387.0,9981731.0,1597.0,-10652.0,-9587.0,19910000.0,57686000.0,100965000.0,vel3
1227792,561457.0,-35914.0,10027222.0,0.0,-3728.0,4793.0,19910000.0,57686000.0,100965000.0,vel3
1227802,-126896.0,-208301.0,9962577.0,0.0,1597.0,-9055.0,19910000.0,57686000.0,100965000.0,vel3
1227812,1828028.0,11971.0,9906311.0,2130.0,-17577.0,2130.0,19910000.0,57686000.0,100965000.0,vel3
1227822,-9577.0,-318438.0,10005674.0,-3195.0,13316.0,-4793.0,19910000.0,57686000.0,100965000.0,vel3
1227832,1377905.0,3591.0,10194821.0,3728.0,-20240.0,-6391.0,19910000.0,57686000.0,100965000.0,vel3
1227842,-126896.0,-287312.0,9895537.0,-4261.0,17577.0,0.0,19910000.0,57686000.0,100965000.0,vel3
1227852,398646.0,-22745.0,10006871.0,1597.0,-14381.0,-9055.0,19910000.0,57686000.0,100965000.0,vel3
1227862,356746.0,-329212.0,9918283.0,-2663.0,3195.0,6391.0,19910000.0,57686000.0,100965000.0,vel3
1227872,-166402.0,-245413.0,10043982.0,1065.0,-1597.0,-9055.0,19910000.0,57686000.0,100965000.0,vel3
1227882,1605361.0,88588.0,9924268.0,2130.0,-17044.0,1597.0,19910000.0,57686000.0,100965000.0,vel3
1227892,83799.0,-196330.0,9982928.0,-3195.0,7989.0,-6391.0,19910000.0,57686000.0,100965000.0,vel3
1227902,1567052.0,-17957.0,10113416.0,3195.0,-21838.0,-3728.0,19910000.0,57686000.0,100965000.0,vel3
1227912,-150839.0,-360338.0,10004476.0,-5326.0,17577.0,532.0,19910000.0,57686000.0,100965000.0,vel3
1227922,543500.0,-113728.0,9957788.0,1597.0,-15979.0,-9055.0,19910000.0,57686000.0,100965000.0,vel3
1227932,174782.0,-320832.0,9943422.0,-1597.0,7989.0,5326.0,19910000.0,57686000.0,100965000.0,vel3
1227942,-22745.0,-153233.0,10029616.0,3195.0,-5859.0,-8522.0,19910000.0,57686000.0,100965000.0,vel3
1227952,1265374.0,79011.0,9996096.0,1065.0,-10652.0,4793.0,19910000.0,57686000.0,100965000.0,vel3
1227962,3591.0,-110136.0,9935042.0,-3728.0,5326.0,-6924.0,19910000.0,57686000.0,100965000.0,vel3
1227972,1745426.0,-4788.0,10099050.0,2130.0,-22371.0,-2130.0,19910000.0,57686000.0,100967000.0,vel3
1227982,-130487.0,-469277.0,10037996.0,-4261.0,16512.0,-2663.0,19910000.0,57686000.0,100967000.0,vel3
1227992,905035.0,-108939.0,9982928.0,4261.0,-19707.0,-9587.0,19910000.0,57686000.0,100967000.0,vel3
1228002,39505.0,-179570.0,9961380.0,-3195.0,12250.0,3195.0,19910000.0,57686000.0,100967000.0,vel3
1228012,196330.0,-180767.0,9981731.0,0.0,-9587.0,-10120.0,19910000.0,57686000.0,100967000.0,vel3
1228022,764970.0,-45491.0,10033208.0,-1597.0,-4261.0,5326.0,19910000.0,57686000.0,100967000.0,vel3
