device_time_ms,ax,ay,az,gx,gy,gz,temp,hum,pres,label
464522,1047495.0,-99362.0,10097853.0,532.0,-9587.0,-4261.0,20370000.0,55246000.0,100949000.0,vel1
464532,-453715.0,-298087.0,10010462.0,-3195.0,6924.0,-3728.0,20370000.0,55246000.0,100949000.0,vel1
464542,814053.0,-56265.0,9962577.0,532.0,-11718.0,-1065.0,20370000.0,55246000.0,100949000.0,vel1
464552,1090592.0,-106545.0,10130176.0,0.0,-9055.0,-3728.0,20370000.0,55246000.0,100949000.0,vel1
464562,-489629.0,-361535.0,9985322.0,-1597.0,6391.0,-3728.0,20370000.0,55246000.0,100949000.0,vel1
464572,859544.0,-39505.0,9964971.0,2663.0,-12250.0,1065.0,20370000.0,55246000.0,100949000.0,vel1
464582,1078620.0,-57462.0,10136162.0,-1065.0,-10120.0,-3728.0,20370000.0,55246000.0,100949000.0,vel1
464592,-474066.0,-386675.0,9982928.0,-3728.0,5859.0,-3195.0,20370000.0,55246000.0,100949000.0,vel1
464602,766167.0,1197.0,10043982.0,2130.0,-12250.0,0.0,20370000.0,55246000.0,100949000.0,vel1
464612,1076226.0,-126896.0,10090670.0,532.0,-9587.0,-2663.0,20370000.0,55246000.0,100949000.0,vel1
464622,-514769.0,-374703.0,10003279.0,-4261.0,7989.0,-3728.0,20370000.0,55246000.0,100949000.0,vel1
464632,952921.0,-8379.0,9975745.0,3195.0,-12250.0,532.0,20370000.0,55246000.0,100949000.0,vel1
464642,1028340.0,-107742.0,10109825.0,-1065.0,-7989.0,-3728.0,20370000.0,55246000.0,100949000.0,vel1
464652,-452517.0,-415406.0,9992505.0,-2663.0,5859.0,-3728.0,20370000.0,55246000.0,100949000.0,vel1
464662,981652.0,-70631.0,9967365.0,2663.0,-10120.0,1065.0,20370000.0,55246000.0,100949000.0,vel1
464673,994821.0,-122108.0,10115810.0,-532.0,-6924.0,-3195.0,20370000.0,55246000.0,100949000.0,vel1
464683,-429772.0,-360338.0,9973351.0,-2130.0,4793.0,-4261.0,20370000.0,55246000.0,100949000.0,vel1
464693,851164.0,-23942.0,9992505.0,1065.0,-9587.0,-1065.0,20370000.0,55246000.0,100949000.0,vel1
464703,1015172.0,-167599.0,10073910.0,-1065.0,-7989.0,-3728.0,20370000.0,55246000.0,100949000.0,vel1
464713,-466883.0,-387872.0,9985322.0,-3195.0,5326.0,-2663.0,20370000.0,55246000.0,100949000.0,vel1
464723,1021158.0,-41899.0,9963774.0,2663.0,-12250.0,-1065.0,20370000.0,55246000.0,100949000.0,vel1
464733,955315.0,-162810.0,10111022.0,-2130.0,-5859.0,-4793.0,20370000.0,55246000.0,100949000.0,vel1
464743,-409420.0,-421392.0,9987717.0,-2663.0,5859.0,-4261.0,20370000.0,55246000.0,100949000.0,vel1
464753,1025946.0,-57462.0,9912297.0,2130.0,-10652.0,-532.0,20370000.0,55277000.0,100953000.0,vel1
464763,961301.0,-152036.0,10081093.0,0.0,-6391.0,-4793.0,20370000.0,55277000.0,100953000.0,vel1
464773,-422589.0,-368718.0,9979337.0,-2130.0,5326.0,-2663.0,20370000.0,55277000.0,100953000.0,vel1
464783,943344.0,-9577.0,9936240.0,1065.0,-11718.0,532.0,20370000.0,55277000.0,100953000.0,vel1
464793,948132.0,-227456.0,10084685.0,-1597.0,-8522.0,-2663.0,20370000.0,55277000.0,100953000.0,vel1
464803,-446532.0,-423786.0,9980534.0,-2663.0,5326.0,-2663.0,20370000.0,55277000.0,100953000.0,vel1
464813,1107352.0,-20351.0,9954197.0,2130.0,-12783.0,0.0,20370000.0,55277000.0,100953000.0,vel1
464823,843981.0,-191541.0,10085882.0,532.0,-4793.0,-3728.0,20370000.0,55277000.0,100953000.0,vel1
464833,-395055.0,-357944.0,9980534.0,-2130.0,5859.0,-3728.0,20370000.0,55277000.0,100953000.0,vel1
