t_s,media_mA,min_mA,max_mA,n
14.60,35.8799,23.7140,63.3864,10240
14.70,35.6948,23.7140,63.2136,9728
14.80,34.1660,23.9593,63.0985,10240
14.90,34.4171,24.0576,63.7322,10240
15.00,34.8632,24.1558,63.7899,9728
15.10,35.4322,24.0576,63.5016,10240
15.20,34.2470,24.1067,63.7899,10240
15.31,35.4498,24.0576,63.7322,9728
15.41,35.1129,23.4689,64.1362,10240
15.51,34.6593,23.9102,63.5592,10240
15.61,35.0493,23.6649,63.8475,9728
15.71,35.2144,24.1067,66.4354,10240
15.81,35.5298,24.3033,63.3864,10240
15.91,34.1197,24.2542,64.1684,9728
16.01,35.4745,23.8121,63.4440,10240
16.11,35.1607,24.1067,63.7899,10240
16.21,34.8167,24.3033,63.6745,10240
16.31,34.8052,24.1067,63.3288,9728
16.41,35.1554,24.2050,64.3095,10240
16.51,34.7160,23.5179,63.3288,9728
16.61,34.9837,24.3033,63.8475,10240
16.71,35.1448,24.0084,67.9471,10240
16.82,34.8881,24.0084,63.5592,9728
16.92,34.0175,23.9593,63.9052,10240
17.02,34.8186,24.0576,64.3095,9728
17.12,34.6011,24.1067,64.5407,10240
17.22,34.2044,23.8121,63.7322,10240
17.32,34.6103,23.9593,63.3864,9728
17.42,34.5670,23.8612,63.9630,10240
17.52,35.0702,23.9102,63.3864,10240
17.62,33.9441,24.2050,63.6169,9728
17.72,34.9374,23.7630,65.6796,10240
17.82,34.6333,23.9593,64.1939,10240
17.92,34.3502,23.9102,64.5407,9728
18.02,34.5945,23.9593,63.5016,10240
18.12,34.4240,23.7140,64.9240,10240
18.23,34.9654,23.3709,63.8475,10240
18.33,34.1825,23.7630,64.7721,9728
18.43,34.2265,23.6649,64.2517,10240
18.53,34.9803,23.3709,64.1684,10240
18.63,34.2689,23.4689,63.6169,9728
18.73,34.6693,23.4199,67.1912,10240
18.83,34.5537,24.1558,64.1362,9728
18.93,34.4632,23.6159,63.8475,10240
19.03,34.5703,23.5179,63.5592,10240
19.13,34.3917,23.7630,63.9052,9728
19.23,35.0390,23.4199,63.9630,10240
19.33,34.3562,23.7140,64.1939,10240
19.43,34.8361,23.8612,63.4440,9728
19.53,34.2258,23.6159,63.7322,10240
19.63,34.5716,23.9102,63.6745,10240
19.73,34.9083,24.1067,64.9240,9728
19.84,34.1399,24.1067,63.6745,10240
19.94,34.9936,24.2050,63.8475,10240
20.04,34.2906,23.9593,64.4829,10240
20.14,34.6793,23.9593,63.9052,9728
20.24,34.4735,23.6159,63.3864,10240
20.34,34.5737,23.8121,63.7322,9728
20.44,34.5921,23.3220,63.7322,10240
20.54,34.2578,24.0084,64.1684,10240
20.64,34.6892,24.0576,64.5407,9728
20.74,34.9695,23.7630,64.1362,10240
20.84,33.8922,23.9102,64.0207,10240
20.94,34.9699,24.1558,65.6796,9728
21.04,34.5283,24.0576,64.8879,10240
21.14,35.3761,23.8121,63.9052,10240
21.25,33.9402,24.1067,63.8475,9728
21.35,35.1435,23.9593,63.6745,10240
21.45,35.9699,23.9102,63.5592,10240
21.55,34.4706,23.7140,64.1939,9728
21.65,35.8698,24.2050,65.6796,10240
21.75,35.9284,24.1558,63.7899,10240
21.85,34.5502,23.7140,65.6796,9728
21.95,35.6756,24.1067,64.0207,10240
22.05,35.9619,23.8121,65.6796,10240
22.15,33.8821,24.1067,63.0985,9728
22.25,36.1953,24.1067,63.3864,10240
22.35,36.0936,23.7630,63.6745,10240
22.45,34.8531,23.9102,63.7899,9728
22.55,36.5732,24.0084,64.0207,10240
22.66,35.4003,23.8612,62.7535,10240
22.76,29.9148,2.1288,63.0985,10240
22.86,26.5341,2.2583,61.8927,9728
22.96,35.7049,2.0354,62.2941,10240
23.06,29.2945,2.4334,61.8354,9728
23.16,32.7481,2.3300,61.0916,10240
23.26,34.7696,2.2897,61.2630,10240
23.36,34.1015,2.2717,61.4918,9728
23.46,34.9375,2.4740,61.5491,10240
23.56,32.3339,2.3390,61.2630,10240
23.66,34.1978,2.1555,61.7208,9728
23.76,34.8160,2.6460,61.3774,10240
23.86,30.8645,2.1511,61.0916,10240
23.96,25.8800,2.0310,31.5051,9728
24.06,33.0787,2.1823,61.2059,10240
24.16,34.4819,2.3884,61.3202,10240
24.26,34.7957,2.3929,61.6063,9728
24.36,34.4205,2.1154,61.0344,10240
24.47,29.4529,2.3480,60.9202,9728
24.57,34.2773,2.2941,62.5237,10240
24.67,34.3452,2.2225,60.8631,10240
24.77,33.3428,2.2852,61.0916,9728
24.87,27.5622,2.3435,62.0646,10240
24.97,35.4825,2.4154,62.4662,9728
25.07,35.2421,2.2852,62.9835,10240
25.17,35.0788,2.5689,62.3514,10240
25.27,35.0631,2.3794,61.8927,10240
25.37,31.1000,2.3480,61.8927,9728
25.47,34.8329,2.2449,61.3202,10240
25.57,34.0976,2.3435,61.8927,9728
25.67,30.8225,2.2673,62.2367,10240
25.77,35.4581,2.4695,67.1912,10240
25.87,34.5674,2.3121,62.0073,9728
25.97,35.0402,2.4244,62.6960,10240
26.07,35.4683,2.2180,62.4662,10240
26.17,34.6145,2.4064,61.6063,9728
26.28,34.7987,2.5011,61.7781,10240
26.38,35.2014,2.3884,62.0073,10240
26.48,34.6952,2.2986,62.0646,9728
26.58,34.7941,2.3659,62.1793,10240
26.68,35.1431,2.2225,61.9500,10240
26.78,34.7868,2.4740,62.2941,9728
26.88,34.7954,2.2717,61.7208,10240
26.98,35.0650,2.3615,61.6635,10240
27.08,34.8542,2.3749,61.9500,9728
27.18,34.8103,2.2628,61.7781,10240
27.28,34.7631,2.3210,61.6635,10240
27.38,35.1497,2.3794,61.8927,9728
27.48,34.8026,2.3749,61.9500,10240
27.58,34.8176,2.3615,61.8354,10240
27.68,35.1639,2.4019,61.7781,9728
27.79,34.8393,2.1243,61.7781,10240
27.89,34.8416,2.3300,61.8354,10240
27.99,35.3837,2.4289,61.9500,9728
28.09,35.0909,2.2270,62.6385,10240
28.19,34.8774,2.2628,62.0646,10240
28.29,35.1875,2.3390,61.5491,9728
28.39,34.8202,2.2449,61.7208,10240
28.49,34.8570,2.1110,61.6635,10240
28.59,35.2086,2.2583,61.7208,9728
28.69,34.8501,2.4515,61.7781,10240
28.79,34.8881,2.2449,61.8927,10240
28.89,35.2254,2.2583,61.5491,9728
28.99,34.8439,2.3615,61.9500,10240
29.10,34.8818,2.3839,62.0646,10240
29.20,35.2567,2.4334,61.5491,9728
29.30,34.8517,2.2225,61.7781,10240
29.40,34.8851,2.3794,61.8354,10240
29.50,35.3095,2.4199,62.4662,9728
29.60,34.7845,2.3525,61.7781,10240
29.70,34.8731,2.2180,62.0646,10240
29.80,35.0555,2.5192,62.1220,9728
29.90,35.0213,2.5599,61.8354,10240
30.00,35.0176,2.4244,61.5491,10240
30.10,34.8889,2.2449,62.0073,9728
30.20,35.0555,2.3525,61.9500,10240
30.30,34.9881,2.1823,62.6960,10240
30.40,34.8001,2.3704,61.8927,9728
30.50,35.1027,2.4560,61.6063,10240
30.60,35.0256,2.3255,62.1793,10240
30.71,34.7665,2.4650,62.1793,9728
30.81,35.1719,2.3525,66.4354,10240
30.91,34.3757,2.4695,61.8927,9728
31.01,35.2654,2.3435,62.5811,10240
31.11,35.2493,2.2494,61.7781,10240
31.21,35.0369,2.3884,61.7208,10240
31.31,34.8513,2.3435,62.0646,10240
31.41,35.0322,2.4921,61.5491,9728
31.51,34.9509,2.3659,62.4088,10240
31.61,34.9317,2.3659,62.0646,10240
31.72,34.9080,2.3794,61.5491,9728
31.82,35.0059,2.2002,61.7208,10240
31.92,34.9588,2.3794,62.1220,10240
32.02,34.8973,2.3929,62.2941,10240
32.12,35.3572,2.4425,62.2941,9728
32.22,35.2112,2.4019,62.2941,10240
32.32,35.0291,2.1779,62.2367,10240
32.42,35.2138,2.6551,62.0646,9728
32.52,34.9357,2.2986,61.8354,10240
32.62,34.6373,2.1555,62.0073,9728
32.72,35.1528,2.1600,62.0646,10240
32.82,34.2927,2.2315,61.5491,9728
32.92,35.2097,2.5101,62.0073,10240
33.02,35.1915,2.4064,61.5491,10240
33.12,34.2653,2.4064,61.7781,9728
33.22,35.1031,2.3525,61.7781,10240
33.32,35.1837,2.3031,61.4918,10240
33.42,34.3772,2.2404,61.6063,9728
33.53,35.0717,2.1110,62.0073,10240
33.63,35.2051,2.2315,62.1793,10240
33.73,34.4786,2.2270,62.0073,9728
33.83,34.9792,2.2046,61.7781,10240
