t_s,media_mA,min_mA,max_mA,n
2.99,37.4720,4.4389,60.8631,2048
3.01,32.0153,2.2852,60.2927,2048
3.03,36.6555,6.2643,60.2358,2048
3.05,32.7434,2.4064,60.6919,2048
3.07,34.1318,2.5327,60.5778,2048
3.09,35.7393,2.3749,61.3202,2048
3.11,31.7065,2.2717,60.2927,2048
3.13,35.3376,2.2852,60.9773,2048
3.15,34.6080,3.7097,60.6919,2048
3.17,31.8556,2.4695,60.4067,2048
3.19,36.7070,2.5282,61.1487,2048
3.22,33.1476,2.4830,60.3497,2048
3.24,33.9837,2.5192,60.9202,2048
3.26,36.0899,2.1466,61.0344,2048
3.28,32.2967,2.4876,60.8060,2048
3.30,36.8995,6.1748,60.4067,2048
3.32,32.3176,2.5373,60.4067,2048
3.34,35.6863,2.4019,61.6635,2048
3.36,33.8592,2.2538,61.2059,2048
3.38,32.9299,4.2610,60.4637,2048
3.40,37.0313,2.6142,60.8060,2048
3.42,25.1671,2.2941,30.2377,2048
3.44,25.0002,2.4560,30.2377,2048
3.46,25.7275,22.7842,30.3388,2048
3.48,25.7690,22.4914,30.5918,2048
3.50,25.7683,22.7842,30.6931,2048
3.52,25.2987,2.2628,30.7944,2048
3.54,31.9342,2.3435,60.1788,2048
3.57,36.7812,2.5735,60.8060,2048
3.59,32.7923,2.3974,61.2059,2560
3.61,36.1301,2.2897,60.6348,2048
3.63,32.4510,2.6052,60.4067,2048
3.65,37.1271,2.4334,60.6919,2048
3.67,32.6282,2.4154,60.7489,2048
3.69,35.5603,2.2538,60.6348,2048
3.71,34.0902,2.4921,60.6919,2048
3.73,32.7880,4.3763,60.5778,2048
3.75,37.3239,2.7597,60.6348,2048
3.77,31.9925,2.4876,60.5207,2048
3.79,36.7680,2.4289,60.6919,2048
3.81,32.9494,2.5147,60.5207,2048
3.83,34.8371,2.1466,60.9202,2048
3.85,34.9423,2.4515,60.2358,2048
3.87,32.5569,6.1748,60.7489,2048
3.89,37.4618,2.5553,60.8060,2048
3.92,32.2368,2.5961,60.8060,2048
3.94,36.6946,2.4650,60.4637,2048
3.96,33.0447,2.5689,60.9202,2048
3.98,31.9363,2.5056,60.5207,2048
4.00,32.3154,2.7324,60.3497,2048
4.02,34.3743,2.7051,60.6348,2048
4.04,28.5953,0.1412,60.4067,2048
4.06,21.1686,1.1452,56.6696,2048
4.08,31.0429,2.3794,58.4753,2048
4.10,30.1331,2.7415,57.7403,2048
4.12,30.0592,2.5870,58.8718,2048
4.14,26.3905,23.2730,31.5051,2048
4.16,26.3926,23.3220,31.0480,2048
4.18,26.4071,22.5402,31.4034,2048
4.20,29.7488,2.3615,58.1924,2048
4.23,31.0365,2.5282,58.6452,2048
4.25,30.2471,2.7051,59.2122,2048
4.27,31.2740,2.2583,59.2690,2048
4.29,25.6353,4.1652,30.7944,2048
4.31,26.0271,22.3452,31.5051,2048
4.33,26.0547,22.5402,30.8958,2560
4.35,24.4568,2.2941,30.7438,1536
4.37,25.5322,22.0530,30.3388,2560
4.39,28.7554,2.3525,57.4581,2048
4.41,29.4239,2.5101,56.1077,1536
4.43,29.3657,2.6052,58.3055,2048
4.45,31.1112,2.3525,57.9662,2560
4.47,29.8357,2.4470,57.7403,2048
4.49,30.3467,2.1110,57.4581,2048
4.51,30.9763,2.2494,58.3621,2048
4.53,29.0418,2.3480,57.5145,2048
4.55,25.2433,22.1991,30.0861,2048
4.58,25.3489,21.7613,30.2377,2048
4.60,27.5530,2.2538,57.6274,2048
4.62,29.1360,2.4605,57.1763,2048
4.64,24.1677,1.1280,56.3323,2048
4.66,13.9324,0.1884,44.3058,2048
4.68,26.3866,23.5179,31.4034,2048
4.70,26.4080,22.8818,31.2510,2048
4.72,26.4372,23.3220,31.4034,2048
4.74,26.4648,23.3709,31.2510,2048
4.76,24.8208,2.0754,33.0354,2048
4.78,31.8365,2.3480,58.8152,2048
4.80,29.4343,2.3974,58.6452,2048
4.82,31.2471,2.2315,59.1554,2048
4.84,29.8792,2.4830,58.8152,2048
4.86,31.0342,2.4425,59.7235,2048
4.88,31.0690,2.6687,59.4961,2048
4.90,30.3632,2.4334,58.1924,2048
4.92,29.1855,2.2807,58.4753,2048
4.94,31.3208,2.3974,58.2489,2048
4.96,29.3682,0.9572,58.8718,2048
4.98,17.4740,1.2096,45.3813,2048
5.01,24.5367,2.3749,30.1366,2048
5.03,28.9894,2.3570,59.3257,2048
5.05,29.2510,2.4650,58.4187,2048
5.07,30.6994,2.4876,57.9097,2048
5.09,29.3074,2.4199,58.9852,2048
5.11,30.9538,2.2046,57.7403,1536
5.13,30.1712,2.5373,58.4187,2560
5.15,30.6324,2.3615,57.9097,1536
5.17,29.9182,2.4379,58.6452,2048
5.19,27.8024,2.3704,58.3621,2560
5.21,25.0288,2.2986,30.4906,2048
5.23,26.3146,2.4199,57.9662,2048
5.25,31.0117,2.4109,58.4187,2048
5.27,28.3502,2.4425,58.0793,2048
5.29,31.0834,2.4154,58.7018,2048
5.31,28.4807,2.5599,57.4017,2048
5.33,30.3998,2.5508,57.6274,2048
5.35,29.0374,2.5282,56.7821,2048
5.37,31.0533,2.4650,57.7403,2048
5.39,28.3838,2.5780,57.0636,2048
5.42,30.9492,2.4379,56.9510,2048
5.44,28.4827,2.5192,56.1077,2048
5.46,30.5218,2.1243,58.0793,2048
5.48,28.9099,2.3435,56.8384,2048
5.50,30.0013,2.4334,57.0636,2048
5.52,29.4534,2.3255,56.8947,2048
5.54,30.2059,2.4154,57.4017,2048
5.56,29.2770,2.5056,58.1358,2048
5.58,30.3774,2.3210,56.9510,2048
5.60,29.0502,2.4199,57.6838,2048
5.62,31.0249,2.5237,56.9510,2048
5.64,27.2436,0.0236,57.4017,2048
5.66,28.2318,15.4481,47.3829,2048
5.68,28.5020,23.7140,49.7290,2048
5.71,28.5334,23.7630,47.7634,2048
5.73,28.4553,23.8612,49.6194,2048
5.75,28.4232,13.6212,47.5459,2048
5.77,38.9343,15.3540,46.5154,2048
5.79,32.4998,2.4379,46.5696,2048
5.81,27.5753,2.5961,62.6385,2560
5.83,35.2812,23.7140,63.2712,2048
5.85,38.6479,23.8121,62.5811,1536
5.87,36.8101,23.3220,62.6960,2560
5.89,36.4715,23.7140,64.1939,2048
5.91,36.1379,23.7140,62.9835,2048
5.93,36.5274,23.7630,62.9259,2048
5.95,37.8611,24.0084,62.9835,2048
5.97,36.8384,24.0576,62.7535,2048
5.99,35.3357,23.5669,62.1220,2048
6.01,36.6826,24.0576,62.9835,2048
6.03,37.9237,23.6159,62.2941,2048
6.06,37.2071,24.1558,62.2941,2048
6.08,36.7503,24.0084,63.2712,2048
6.10,36.5462,23.7140,62.7535,2048
