ax,ay,az,gx,gy,gz,temp,hum,pres,class
482446.0,-166402.0,9999688.0,-532.0,-4793.0,-3195.0,20280000.0,56737000.0,100928000.0,0
495614.0,-165204.0,10015251.0,532.0,-4261.0,-2663.0,20280000.0,56737000.0,100928000.0,0
498009.0,-164007.0,10006871.0,-532.0,-4261.0,-3728.0,20280000.0,56737000.0,100928000.0,0
478854.0,-171190.0,9996096.0,-532.0,-4261.0,-2130.0,20280000.0,56737000.0,100928000.0,0
498009.0,-165204.0,10004476.0,-532.0,-5326.0,-2130.0,20280000.0,56737000.0,100928000.0,0
484840.0,-172387.0,10011659.0,-1065.0,-4261.0,-3728.0,20280000.0,56737000.0,100928000.0,0
502797.0,-174782.0,9990111.0,-532.0,-2663.0,-2663.0,20280000.0,56737000.0,100928000.0,0
517163.0,-171190.0,10015251.0,-1597.0,-5326.0,-3195.0,20280000.0,56737000.0,100928000.0,0
509980.0,-171190.0,10008068.0,-532.0,-6391.0,-2663.0,20280000.0,56737000.0,100928000.0,0
489629.0,-175979.0,9997294.0,532.0,-5326.0,-1597.0,20280000.0,56737000.0,100928000.0,0
484840.0,-159219.0,10004476.0,0.0,-3728.0,-3195.0,20280000.0,56737000.0,100928000.0,0
482446.0,-161613.0,10008068.0,-1597.0,-5326.0,-3195.0,20280000.0,56737000.0,100928000.0,0
489629.0,-174782.0,10014054.0,-1597.0,-5326.0,-2663.0,20280000.0,56737000.0,100928000.0,0
482446.0,-173584.0,10010462.0,-1065.0,-4793.0,-2663.0,20280000.0,56737000.0,100928000.0,0
499206.0,-165204.0,9994899.0,532.0,-5326.0,-3195.0,20280000.0,56737000.0,100928000.0,0
496812.0,-171190.0,10002082.0,532.0,-2663.0,-3195.0,20280000.0,56737000.0,100928000.0,0
507586.0,-178373.0,10028419.0,-1597.0,-4793.0,-1597.0,20280000.0,56737000.0,100928000.0,0
492023.0,-173584.0,10012856.0,-2663.0,-4793.0,-2663.0,20280000.0,56737000.0,100928000.0,0
482446.0,-162810.0,9992505.0,0.0,-4261.0,-3728.0,20280000.0,56737000.0,100928000.0,0
492023.0,-168796.0,10008068.0,0.0,-4793.0,-3195.0,20280000.0,56737000.0,100928000.0,0
498009.0,-174782.0,10005674.0,0.0,-4261.0,-3195.0,20280000.0,56737000.0,100928000.0,0
500403.0,-187950.0,9985322.0,-532.0,-4793.0,-2663.0,20280000.0,56737000.0,100928000.0,0
489629.0,-172387.0,9997294.0,-1065.0,-3195.0,-3195.0,20280000.0,56737000.0,100928000.0,0
492023.0,-169993.0,10002082.0,0.0,-2663.0,-2663.0,20280000.0,56737000.0,100928000.0,0
500403.0,-184359.0,9999688.0,-532.0,-4261.0,-3195.0,20280000.0,56737000.0,100928000.0,0
499206.0,-183162.0,10010462.0,0.0,-4261.0,-4261.0,20280000.0,56737000.0,100928000.0,0
490826.0,-166402.0,9994899.0,-532.0,-4793.0,-3195.0,20280000.0,56737000.0,100928000.0,0
