device_time_ms,ax,ay,az,gx,gy,gz,temp,hum,pres,label
119431,23942.0,2394.0,10016448.0,1065.0,-3728.0,-2663.0,21350000.0,55292000.0,100278000.0,idle
119441,19154.0,1197.0,9991308.0,532.0,-3195.0,-1065.0,21350000.0,55292000.0,100278000.0,idle
119451,31125.0,1197.0,9999688.0,0.0,-4261.0,-1597.0,21350000.0,55292000.0,100278000.0,idle
119461,19154.0,-15562.0,10004476.0,-532.0,-4793.0,-1065.0,21350000.0,55292000.0,100278000.0,idle
119471,19154.0,-15562.0,10000885.0,532.0,-4793.0,-1597.0,21350000.0,55292000.0,100278000.0,idle
119481,33519.0,-11971.0,9993702.0,1065.0,-4261.0,-2130.0,21350000.0,55292000.0,100278000.0,idle
119491,32322.0,-3591.0,10010462.0,0.0,-4261.0,-2663.0,21350000.0,55292000.0,100278000.0,idle
119501,31125.0,-3591.0,10009265.0,0.0,-4793.0,-2130.0,21350000.0,55292000.0,100278000.0,idle
119511,20351.0,-3591.0,9992505.0,532.0,-4793.0,-2130.0,21350000.0,55292000.0,100278000.0,idle
119521,46688.0,-16759.0,9997294.0,532.0,-4793.0,-2130.0,21350000.0,55292000.0,100278000.0,idle
119531,25139.0,-2394.0,10000885.0,-532.0,-4261.0,-1597.0,21350000.0,55292000.0,100278000.0,idle
119541,23942.0,-14365.0,9997294.0,0.0,-4793.0,-3195.0,21350000.0,55292000.0,100278000.0,idle
119551,26337.0,4788.0,10009265.0,1065.0,-4261.0,-3195.0,21350000.0,55292000.0,100278000.0,idle
119561,32322.0,-1197.0,10014054.0,-532.0,-4261.0,-2663.0,21350000.0,55292000.0,100278000.0,idle
119571,34716.0,-16759.0,10009265.0,0.0,-4793.0,-1597.0,21350000.0,55292000.0,100278000.0,idle
119581,43096.0,-8379.0,10010462.0,0.0,-4793.0,-1597.0,21350000.0,55292000.0,100278000.0,idle
119591,29928.0,-8379.0,9998491.0,0.0,-4793.0,-1597.0,21350000.0,55292000.0,100278000.0,idle
119611,43096.0,3591.0,9987717.0,-532.0,-3728.0,-2130.0,21350000.0,55292000.0,100278000.0,idle
