acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,class
5603,-1795,7941,4,-16,-1,3
5770,-1812,7715,-1,-4,-9,3
5766,-1805,7774,12,5,-17,3
5670,-1702,7964,-2,-1,-12,3
5682,-1670,7994,-14,-3,-10,3
5741,-1690,7989,-17,-6,-5,3
5779,-1719,7958,-13,-11,-7,3
5735,-1687,7904,-5,-15,-19,3
5733,-1679,7893,0,-18,-15,3
5743,-1691,7823,4,-17,-16,3
5711,-1641,7746,-2,-15,-17,3
5675,-1624,7777,-12,-10,-1,3
5676,-1658,7858,-17,-6,12,3
5662,-1709,7940,-15,-9,17,3
5661,-1772,7983,-10,-19,8,3
5679,-1749,7944,1,-28,-6,3
5715,-1681,7835,9,-30,-18,3
5760,-1590,7721,0,-30,-21,3
5766,-1555,7655,-16,-23,-12,3
5755,-1601,7671,-15,-9,1,3
5752,-1704,7717,-4,0,3,3
5710,-1746,7749,1,1,-4,3
5701,-1755,7814,12,0,-15,3
5692,-1661,7819,21,0,-19,3
5727,-1640,7812,11,-2,-18,3
5711,-1647,7819,0,-1,-31,3
5719,-1601,7891,-14,0,-25,3
5747,-1605,7934,-11,0,-7,3
5747,-1605,7934,-11,0,-7,3
5734,-1588,7902,-5,-4,6,3
5724,-1598,7921,-3,-11,19,3
5715,-1619,7914,-6,-12,33,3
5717,-1655,7869,-11,-14,46,3
5697,-1799,7810,-10,-15,30,3
5649,-1840,7811,-7,-14,-15,3
5670,-1665,7765,-6,-16,-24,3
5730,-1567,7680,4,-12,-16,3
5767,-1585,7714,4,-3,-2,3
5766,-1652,7768,-3,-3,10,3
5785,-1691,7741,7,-1,10,3
5812,-1637,7696,19,2,13,3
5843,-1608,7672,17,6,20,3
5791,-1673,7640,12,15,8,3
5730,-1660,7678,5,23,-1,3
5713,-1658,7799,-6,27,6,3
5672,-1709,7920,-10,26,0,3
5662,-1699,7990,-11,17,-15,3
5660,-1643,8012,1,11,-22,3
5684,-1576,8033,5,8,-12,3
5712,-1525,7998,-1,0,7,3
5684,-1544,7913,0,-7,31,3
5727,-1601,7794,-1,23,5,3
5727,-1601,7794,-1,23,5,3
5705,-1546,7853,7,26,17,3
5682,-1585,7890,12,25,31,3
5682,-1665,7945,6,20,41,3
5675,-1743,7933,4,13,43,3
5682,-1800,7903,0,6,37,3
5705,-1873,7838,0,2,12,3
5694,-1774,7741,-5,1,-11,3
5693,-1698,7751,-13,4,-5,3
5692,-1727,7814,-8,11,2,3
5728,-1733,7861,1,13,-1,3
5724,-1705,7858,9,11,1,3
5734,-1673,7856,16,12,4,3
5741,-1626,7844,8,15,9,3
5725,-1612,7860,-8,14,18,3
5682,-1705,7835,-18,12,29,3
5643,-1792,7831,-20,14,26,3
5631,-1826,7909,-15,18,3,3
5621,-1790,7984,0,19,-18,3
5640,-1677,8037,17,14,-23,3
5695,-1613,8013,15,7,-11,3
5689,-1648,8006,5,3,-5,3
5681,-1664,7981,-12,-4,8,3
5687,-1732,7883,-15,-10,20,3
5699,-1784,7810,-10,-6,22,3
5723,-1787,7801,-12,-1,17,3
5718,-1835,7808,-4,1,4,3
5704,-1795,7837,3,5,-3,3
5689,-1750,7843,-3,2,0,3
5663,-1766,7880,-10,3,-1,3
5626,-1741,7880,-18,0,-6,3
5648,-1686,7853,-25,0,-5,3
5670,-1670,7844,-22,2,1,3
5712,-1697,7847,-20,5,12,3
5717,-1749,7867,-10,5,12,3
5705,-1735,7889,3,7,1,3
5745,-1690,7860,2,7,-4,3
5710,-1648,7831,4,13,-22,3
5650,-1573,7919,-11,15,-23,3
5627,-1608,7994,-26,9,-15,3
5639,-1661,7988,-19,3,-3,3
5626,-1658,7980,-14,-2,6,3
5612,-1616,7875,-1,-7,42,3
5638,-1719,7872,3,14,12,3
5718,-1708,7759,-7,-2,-10,3
5674,-1778,7747,-10,4,0,3
5613,-1886,7828,-1,15,-1,3
5607,-1854,7907,4,16,-7,3
5625,-1745,7923,12,8,-6,3
5634,-1675,7928,21,3,0,3
5644,-1711,7922,14,0,3,3
5610,-1778,7914,2,-5,-4,3
5555,-1831,7926,1,-4,-25,3
5576,-1764,7957,4,-5,-31,3
5616,-1684,7928,10,-10,-24,3
5657,-1672,7878,14,-13,-14,3
5680,-1681,7840,12,-11,0,3
5675,-1755,7794,7,-10,11,3
5646,-1851,7738,14,-6,-3,3
5646,-1851,7738,14,-6,-3,3
5627,-1829,7715,11,-3,-21,3
5644,-1782,7729,1,4,-26,3
5668,-1781,7842,6,15,-29,3
5613,-1751,7947,15,19,-38,3
5587,-1671,8049,18,16,-39,3
5596,-1619,8062,21,6,-24,3
5637,-1613,8005,23,-5,-7,3
5636,-1619,7951,16,-11,1,3
5637,-1713,7933,5,-13,4,3
5610,-1806,7948,6,-17,-2,3
5603,-1800,7923,12,-23,-4,3
5642,-1784,7829,15,-27,-6,3
5680,-1844,7758,14,-24,-20,3
5636,-1808,7737,12,-15,-39,3
5636,-1722,7744,12,-4,-43,3
5657,-1632,7783,15,0,-35,3
5664,-1638,7829,22,0,-24,3
5657,-1655,7841,29,0,-12,3
5642,-1643,7820,34,1,-6,3
5660,-1673,7841,28,1,-5,3
5669,-1667,7846,25,1,-9,3
5686,-1666,7822,17,6,-13,3
5700,-1714,7868,9,10,-17,3
5682,-1723,7890,10,13,-33,3
5668,-1679,7980,13,19,-43,3
5670,-1590,8079,23,22,-43,3
5660,-1525,8151,28,13,-24,3
5607,-1546,8162,33,4,-5,3
5578,-1563,8148,33,-10,10,3
5589,-1589,8112,21,-26,26,3
5633,-1642,7984,9,-37,35,3
5670,-1772,7879,0,-41,23,3
5672,-1804,7811,0,-36,3,3
5706,-1731,7777,5,-29,1,3
5709,-1749,7749,14,-22,-1,3
5682,-1770,7769,22,-12,-9,3
5649,-1713,7818,25,-6,-10,3
5650,-1656,7874,23,-4,-8,3
5643,-1606,7897,19,-6,-5,3
5658,-1586,7897,18,-9,-5,3
5661,-1592,7909,8,-11,-4,3
5676,-1624,7921,0,-15,-10,3
5644,-1643,7866,10,-14,-18,3
5649,-1628,7818,13,-11,-15,3
5680,-1595,7826,7,-6,-4,3
5687,-1612,7874,3,-3,4,3
5672,-1649,7871,9,0,11,3
5661,-1679,7895,12,0,12,3
