acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,class
7161,-3385,5688,5,-26,11,2
7164,-3396,5637,14,-26,4,2
7157,-3362,5660,18,-23,-4,2
7173,-3300,5713,13,-19,-7,2
7188,-3306,5717,4,-13,-9,2
7178,-3319,5681,-3,-7,-12,2
7178,-3298,5704,-5,-2,-17,2
7190,-3274,5736,-2,-1,-13,2
7200,-3240,5733,6,-4,-8,2
7233,-3247,5737,9,-7,-3,2
7239,-3256,5736,7,-10,-3,2
7230,-3269,5820,-17,-6,0,2
7211,-3349,5755,-19,-9,1,2
7212,-3338,5686,-11,-11,-8,2
7236,-3276,5661,1,-13,-16,2
7278,-3223,5648,8,-14,-16,2
7279,-3226,5663,4,-12,-15,2
7270,-3235,5695,-2,-10,-9,2
7264,-3221,5719,-11,-5,-4,2
7248,-3240,5757,-15,-2,-4,2
7255,-3249,5757,-9,-5,4,2
7289,-3284,5742,1,-12,12,2
7310,-3283,5717,10,-17,14,2
7308,-3257,5698,13,-18,11,2
7292,-3220,5704,12,-18,2,2
7282,-3217,5698,0,-18,-6,2
7279,-3190,5707,-5,-13,-6,2
7186,-3269,5754,-1,-10,12,2
7200,-3257,5727,2,-13,13,2
7243,-3256,5678,6,-13,15,2
7258,-3246,5686,8,-10,17,2
7243,-3245,5700,5,-8,17,2
7254,-3293,5728,4,-6,18,2
7252,-3314,5727,2,-3,12,2
7216,-3312,5730,3,-2,3,2
7217,-3292,5721,8,-2,0,2
7229,-3266,5700,14,-2,1,2
7203,-3243,5704,13,-2,-3,2
7216,-3197,5700,8,0,-2,2
7239,-3211,5737,5,2,4,2
7240,-3251,5791,1,2,11,2
7219,-3292,5809,1,0,16,2
7219,-3317,5809,0,-4,15,2
7219,-3288,5777,1,-7,11,2
7225,-3275,5748,2,-11,10,2
7235,-3404,5731,-6,0,17,2
7221,-3373,5722,-3,0,5,2
7223,-3335,5710,0,-1,0,2
7230,-3306,5694,2,-3,2,2
7230,-3276,5694,1,-1,2,2
7210,-3290,5737,-4,-2,-8,2
7239,-3239,5754,-5,-3,-19,2
7288,-3201,5721,-4,-3,-14,2
7294,-3205,5695,2,-4,-4,2
7290,-3185,5670,6,-7,-1,2
7283,-3155,5639,6,-4,-1,2
7257,-3155,5660,1,0,2,2
7230,-3198,5722,-6,1,4,2
7222,-3216,5758,-11,0,2,2
7252,-3233,5752,-10,1,9,2
7269,-3304,5780,-9,-2,18,2
7234,-3367,5802,-4,-5,19,2
7219,-3365,5785,0,-11,11,2
7230,-3325,5747,2,-15,7,2
7245,-3295,5693,1,-15,5,2
7240,-3282,5685,-1,-12,5,2
7204,-3304,5722,-3,-10,9,2
7168,-3287,5736,-5,-12,11,2
7210,-3307,5644,-4,-12,1,2
7212,-3312,5627,-5,-6,-5,2
7228,-3261,5633,-9,0,-9,2
7239,-3244,5657,-11,3,-5,2
7247,-3261,5689,-7,4,-2,2
7271,-3261,5722,-1,4,2,2
7245,-3270,5745,2,1,11,2
7225,-3276,5764,0,0,13,2
7221,-3281,5745,-4,-1,9,2
7255,-3293,5701,-7,-4,4,2
7231,-3277,5688,-7,-5,-1,2
7231,-3277,5688,-7,-5,-1,2
7204,-3282,5692,-3,-5,-2,2
7211,-3275,5700,0,-5,-4,2
7215,-3281,5749,3,-6,-3,2
7227,-3282,5782,1,-6,3,2
7237,-3299,5769,-7,-5,11,2
7234,-3314,5764,-16,-3,12,2
7224,-3344,5767,-20,-5,12,2
