acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,class
2563,-3056,8994,-4,-9,15,1
2616,-3055,8953,2,-10,13,1
2632,-2998,8930,3,-5,12,1
2603,-2989,8979,-1,1,12,1
2561,-3034,9022,-10,-1,8,1
2577,-3055,8977,-10,-15,3,1
2637,-2995,8873,-3,-21,-2,1
2682,-2990,8854,5,-18,-1,1
2697,-3009,8855,11,-12,0,1
2663,-3029,8873,11,0,0,1
2636,-3009,8910,2,13,0,1
2588,-2989,8958,-6,19,1,1
2542,-3026,9031,-11,16,1,1
2542,-3026,9031,-11,16,1,1
2555,-3051,9034,-2,-1,-4,1
2631,-3022,9039,10,-12,-9,1
2676,-2988,9028,13,-7,-6,1
2655,-2954,9019,11,0,2,1
2592,-2998,9012,2,2,7,1
2552,-3001,9014,3,-1,2,1
2594,-2959,8989,4,-6,-4,1
2630,-2935,8959,-1,-8,-5,1
2624,-2958,9033,-5,-7,-2,1
2603,-3008,9092,-13,-11,0,1
2610,-3038,9053,-18,-21,-1,1
2604,-3032,9033,-8,-29,-6,1
2630,-3014,8967,2,-36,-9,1
2666,-2974,8898,12,-34,-6,1
2643,-2960,8885,12,-25,-4,1
2633,-3001,8877,5,-16,-2,1
2638,-2982,8876,-3,-11,-5,1
2639,-2964,8936,-14,-10,-9,1
2658,-2995,8921,-14,-9,-9,1
2658,-2995,8921,-14,-9,-9,1
2644,-2972,8917,-6,-9,-6,1
2640,-3003,8889,-3,-7,-5,1
2648,-2998,8905,-6,-5,-2,1
2632,-2965,8967,-7,0,0,1
2619,-3010,9012,-11,1,0,1
2632,-2997,9009,-10,-6,-2,1
2654,-3032,8898,0,-9,1,1
2654,-3032,8898,0,-9,1,1
2616,-3020,8937,-9,-1,-5,1
2620,-3008,8978,-10,-1,-8,1
2637,-2989,8995,-5,-6,-9,1
2636,-2995,8994,4,-16,-6,1
2650,-2984,8976,12,-25,-4,1
2638,-3011,8972,7,-26,-4,1
2639,-3046,8935,1,-28,-6,1
2685,-3011,8873,2,-26,-12,1
2709,-2996,8877,3,-17,-14,1
2728,-2943,8852,0,-6,-9,1
2699,-2949,8875,-3,4,-1,1
2663,-2970,8903,-4,7,0,1
2656,-2962,8937,1,4,-3,1
2655,-2942,8973,3,0,-2,1
2654,-2953,8956,1,-4,1,1
2676,-2954,8912,2,-3,4,1
2651,-2961,8934,-7,4,4,1
2627,-2997,8994,-10,7,9,1
2625,-3023,9022,-2,5,7,1
2638,-3017,9051,5,2,3,1
2637,-3006,9065,-1,-1,4,1
2613,-3007,9067,-6,-5,5,1
2587,-3047,9030,-11,-16,-1,1
2608,-3068,8966,-5,-29,-4,1
2655,-3033,8876,1,-33,-6,1
2699,-3013,8809,12,-23,-2,1
2705,-3029,8822,14,-14,4,1
2658,-3047,8863,11,-2,-2,1
2656,-3037,8910,14,-1,-12,1
2672,-2989,8912,11,-6,-21,1
2691,-2910,8931,5,-6,-16,1
2685,-2938,8946,2,-4,-5,1
2668,-3006,8930,4,-4,0,1
2675,-3008,8905,-2,-1,-4,1
2656,-2961,8894,1,2,-8,1
2650,-2934,8964,10,5,-6,1
2645,-2936,9055,11,5,-3,1
2636,-2950,9124,7,0,-3,1
2654,-2935,9123,6,-11,-5,1
2686,-2931,9069,-2,-16,0,1
2670,-2968,9008,-15,-15,6,1
2638,-3016,8979,-14,-13,9,1
2656,-2988,8942,9,-17,-4,1
2656,-2988,8942,9,-17,-4,1
2680,-2988,8994,11,-19,0,1
2683,-2996,8952,6,-22,2,1
2710,-2982,8917,1,-18,6,1
2693,-3016,8881,-6,-14,6,1
2660,-3034,8869,-9,-12,0,1
2672,-3007,8876,-2,-14,-7,1
2722,-2949,8874,3,-13,-8,1
2727,-2931,8915,5,-5,0,1
2668,-3002,8936,2,-2,4,1
2637,-3034,8958,2,-3,2,1
2686,-2982,8909,4,-6,-4,1
2706,-2944,8870,3,-1,-5,1
2700,-2948,8905,1,7,2,1
2655,-2986,8979,-6,15,10,1
2592,-3047,9050,-12,12,6,1
2604,-3071,9082,-11,2,0,1
2649,-2984,9082,-13,-7,-6,1
2685,-2955,9068,-5,-17,-4,1
2680,-3017,8964,3,-24,2,1
2650,-3062,8931,2,-23,-2,1
2614,-3056,8930,3,-22,-9,1
2663,-3016,8855,7,-25,-12,1
2718,-2980,8857,13,-19,-12,1
2735,-2955,8912,13,-10,-10,1
2692,-2973,8985,4,-6,-5,1
2664,-3009,9010,-4,-11,-3,1
2675,-3010,8937,-7,-18,-8,1
2675,-3010,8937,-7,-18,-8,1
2736,-2954,8836,-2,-19,-13,1
2743,-2924,8813,1,-10,-7,1
2719,-2953,8848,3,0,1,1
2681,-3008,8860,6,3,1,1
2693,-2984,8889,10,4,-3,1
2669,-2977,8970,-7,4,12,1
2669,-2977,8970,-7,4,12,1
2609,-3045,9026,-6,5,15,1
2614,-3079,9058,0,-1,10,1
2644,-3047,9034,-2,-9,0,1
2650,-3014,9028,-7,-16,-5,1
2675,-3040,8967,2,-29,-4,1
2719,-3038,8840,11,-33,-6,1
2745,-2998,8795,7,-20,-5,1
2701,-3003,8804,-1,5,-9,1
2701,-3003,8804,-1,5,-9,1
2706,-2961,8845,-5,10,-13,1
2676,-2976,8930,-10,12,-13,1
2673,-2980,8970,-9,6,-8,1
2687,-2955,8947,-3,1,-7,1
2681,-2954,8954,1,1,-9,1
2706,-2922,8985,5,5,-4,1
2701,-2936,9021,3,6,5,1
2669,-2974,9034,1,5,8,1
2664,-2979,9032,-1,7,9,1
2627,-2989,9025,-11,4,6,1
2628,-2973,9025,-7,-2,6,1
2633,-2986,9026,-4,-6,11,1
2679,-3037,9021,1,-26,-9,1
2679,-3037,9021,1,-26,-9,1
2703,-3017,8950,0,-28,-5,1
2712,-3023,8879,2,-25,3,1
2698,-3004,8861,4,-20,5,1
2645,-3049,8855,9,-20,1,1
2649,-3075,8857,13,-22,-10,1
2727,-2943,8849,11,-26,-19,1
2789,-2886,8852,15,-21,-9,1
2786,-2961,8864,10,-6,2,1
2761,-2978,8876,0,5,3,1
2716,-2966,8918,-5,12,3,1
2706,-2950,8906,-6,12,4,1
2695,-2931,8905,-2,12,10,1
2664,-2983,8968,2,13,17,1
2614,-3053,9052,-5,7,12,1
2624,-3033,9069,-12,-3,4,1
2648,-2986,9059,-11,-10,-2,1
2704,-2985,8967,-5,-13,5,1
2753,-2986,8917,-9,-10,14,1
2648,-3079,9001,3,-3,10,1
2638,-3129,8960,16,-2,4,1
2630,-3020,8974,-11,-1,-10,1
2624,-3038,9002,-5,-12,-10,1
2652,-3059,8964,15,-29,-7,1
2710,-3002,8893,14,-31,-13,1
2747,-3011,8913,16,-25,-8,1
2758,-3014,8898,10,-18,-4,1
2718,-2985,8862,6,-12,-4,1
2704,-2982,8857,-1,-4,1,1
2685,-2986,8838,1,-3,-3,1
2699,-2961,8848,7,-1,-9,1
2731,-2918,8892,4,0,-9,1
2740,-2888,8928,9,3,-4,1
2740,-2927,8948,13,7,4,1
2715,-2947,8971,4,12,9,1
2717,-2923,8952,-3,13,11,1
2727,-2930,8887,-1,13,15,1
2728,-2931,8855,0,21,22,1
2687,-2938,8856,0,33,26,1
2649,-2967,8955,-2,38,25,1
2596,-3025,9143,-13,29,17,1
2565,-3092,9240,-21,5,4,1
2634,-3076,9136,-25,-16,-2,1
2685,-3020,9002,-30,-19,-8,1
2675,-3065,8977,-26,-9,2,1
2627,-3129,8934,-16,-5,10,1
2613,-3136,8901,1,-9,7,1
2654,-3074,8851,13,-7,2,1
2681,-3007,8879,17,-3,0,1
2651,-3039,8941,4,0,-2,1
2649,-3071,8982,-4,-10,-12,1
2737,-3010,8915,-10,-21,-21,1
2803,-2930,8828,-7,-20,-20,1
2761,-2922,8822,-3,-10,-13,1
2699,-2956,8813,5,-4,-5,1
2704,-2970,8818,18,0,-1,1
2724,-2924,8865,16,10,-3,1
2707,-2915,8962,4,19,-1,1
2699,-2948,9013,0,18,5,1
2682,-2941,9013,1,15,6,1
2644,-2996,9045,2,12,12,1
2604,-3044,9067,2,5,10,1
2619,-3045,9062,9,-6,3,1
2649,-3022,9021,13,-14,0,1
2691,-2986,8995,9,-10,7,1
2674,-3000,8954,4,-5,17,1
2655,-3065,8917,6,-2,18,1
2650,-3108,8909,4,-1,11,1
